QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 30
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 50
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 9 	f: 1317.56 	mf: 439.00 	ga0: 0.62 	ga1: 8.05 	ga2: 0.00 	ga3: 0.31 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.64 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.27 	gb1: 0.72 	gb2: 0.19 	gb3: 0.22 	gb4: 0.63 	gb5: 0.63 	gb6: 0.26 	gb7: 0.58 	gb8: 0.66 	gb9: 0.51 	gb10: -3.21 	gb11: 0.24 	gb12: -1.51 	gb13: 0.28 	gb14: 2.98 	gb15: 2.81 	gb16: 2.91 	gb17: -0.08 	gb18: -3.70 	gb19: 3.27
		Population 3
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.81 	ga1: 7.23 	ga2: 0.26 	ga3: 0.31 	ga4: 0.07 	ga5: 0.15 	ga6: 0.12 	ga7: 0.41 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.08 	gb0: 0.45 	gb1: 0.12 	gb2: 0.45 	gb3: 0.79 	gb4: 0.27 	gb5: 0.93 	gb6: 0.20 	gb7: 0.42 	gb8: 0.78 	gb9: 0.29 	gb10: 1.77 	gb11: 1.15 	gb12: -3.00 	gb13: -0.04 	gb14: 1.66 	gb15: 4.39 	gb16: -2.79 	gb17: 0.58 	gb18: -3.33 	gb19: 0.17
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.69 	ga1: 7.14 	ga2: 0.01 	ga3: 0.31 	ga4: 0.15 	ga5: 0.11 	ga6: 0.00 	ga7: 0.41 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.03 	gb0: 0.59 	gb1: 0.33 	gb2: 0.09 	gb3: 0.30 	gb4: 0.76 	gb5: 0.67 	gb6: 0.59 	gb7: 0.71 	gb8: 0.53 	gb9: 0.16 	gb10: 1.89 	gb11: 1.94 	gb12: 1.87 	gb13: 0.16 	gb14: 2.13 	gb15: 3.45 	gb16: -3.60 	gb17: -1.44 	gb18: 1.86 	gb19: -3.26
			Robot 2 	f: 898.53 	mf: 224.50 	ga0: 0.43 	ga1: 7.24 	ga2: 0.00 	ga3: 0.31 	ga4: 0.00 	ga5: 0.00 	ga6: 0.46 	ga7: 0.41 	ga8: 0.00 	ga9: 0.11 	ga10: 0.00 	ga11: 0.00 	gb0: 0.07 	gb1: 0.35 	gb2: 0.84 	gb3: 0.72 	gb4: 0.43 	gb5: 0.20 	gb6: 0.09 	gb7: 0.77 	gb8: 0.22 	gb9: 0.37 	gb10: 1.39 	gb11: -3.27 	gb12: 3.55 	gb13: -0.12 	gb14: 4.22 	gb15: -3.61 	gb16: 2.14 	gb17: -3.27 	gb18: -1.26 	gb19: 1.59
			Robot 3 	f: 44.65 	mf: 11.00 	ga0: 0.60 	ga1: 7.65 	ga2: 0.18 	ga3: 0.76 	ga4: 0.32 	ga5: 0.00 	ga6: 0.38 	ga7: 0.41 	ga8: 0.00 	ga9: 0.08 	ga10: 0.00 	ga11: 0.00 	gb0: 0.22 	gb1: 0.72 	gb2: 0.05 	gb3: 0.13 	gb4: 0.46 	gb5: 0.73 	gb6: 0.72 	gb7: 0.13 	gb8: 0.50 	gb9: 0.26 	gb10: 0.73 	gb11: -1.27 	gb12: -4.07 	gb13: 0.68 	gb14: -3.30 	gb15: -2.78 	gb16: -3.45 	gb17: -2.70 	gb18: -0.76 	gb19: 1.95
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.73 	ga1: 7.09 	ga2: 0.00 	ga3: 0.31 	ga4: 0.00 	ga5: 0.03 	ga6: 0.22 	ga7: 0.41 	ga8: 0.36 	ga9: 0.00 	ga10: 0.03 	ga11: 0.71 	gb0: 0.76 	gb1: 0.63 	gb2: 0.30 	gb3: 0.10 	gb4: 0.61 	gb5: 0.59 	gb6: 0.82 	gb7: 0.58 	gb8: 0.52 	gb9: 0.73 	gb10: 0.27 	gb11: 3.54 	gb12: -2.26 	gb13: -2.63 	gb14: 3.99 	gb15: 1.99 	gb16: -2.25 	gb17: 0.72 	gb18: 1.41 	gb19: 3.91
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.82 	ga1: 7.34 	ga2: 0.03 	ga3: 0.31 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.41 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.53 	gb1: 0.18 	gb2: 0.35 	gb3: 0.19 	gb4: 0.18 	gb5: 0.38 	gb6: 0.66 	gb7: 0.61 	gb8: 0.62 	gb9: 0.13 	gb10: 1.72 	gb11: -0.51 	gb12: 0.42 	gb13: 2.31 	gb14: 0.05 	gb15: -2.61 	gb16: -1.02 	gb17: -2.71 	gb18: 3.44 	gb19: 0.42
			Robot 6 	f: 0.00 	mf: 294.25 	ga0: 0.30 	ga1: 8.07 	ga2: 0.00 	ga3: 0.47 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.41 	ga8: 0.00 	ga9: 0.56 	ga10: 0.00 	ga11: 0.00 	gb0: 0.56 	gb1: 0.75 	gb2: 0.20 	gb3: 0.44 	gb4: 0.58 	gb5: 0.42 	gb6: 0.10 	gb7: 0.22 	gb8: 0.24 	gb9: 0.44 	gb10: -2.92 	gb11: 0.71 	gb12: 2.81 	gb13: 1.16 	gb14: -2.06 	gb15: -0.26 	gb16: 0.70 	gb17: 2.27 	gb18: -3.32 	gb19: 2.13
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 0.61 	ga1: 4.96 	ga2: 0.00 	ga3: 0.31 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.41 	ga8: 0.18 	ga9: 0.35 	ga10: 0.13 	ga11: 0.00 	gb0: 0.29 	gb1: 0.60 	gb2: 0.10 	gb3: 0.62 	gb4: 0.24 	gb5: 0.34 	gb6: 0.70 	gb7: 0.29 	gb8: 0.57 	gb9: 0.79 	gb10: 2.75 	gb11: -0.55 	gb12: 2.45 	gb13: -1.40 	gb14: -0.31 	gb15: 1.51 	gb16: 2.23 	gb17: 0.57 	gb18: -3.12 	gb19: -2.80
