QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -100
PointsMoving: 10
MaxPopulation: 40
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 9.2	 mr: 0.51	 nc: 0.2	 nm: 0.1	 bmp: 0.58	 cc: 2.65
	Repetition 0
		Population 0
			Robot 9 	f:-57.26 	mf: 282.76
		Population 32
			Robot 0 	f:425.81 	mf: 283.92
			Robot 1 	f:227.56 	mf: 335.57
			Robot 2 	f:220.87 	mf: 18.72
			Robot 3 	f:421.29 	mf: 352.71
			Robot 4 	f:236.13 	mf: 369.22
			Robot 5 	f:392.81 	mf: 435.70
			Robot 6 	f:489.68 	mf: 370.44
			Robot 7 	f:288.35 	mf: 381.30
			Robot 8 	f:269.67 	mf: 339.57
			Robot 9 	f:392.80 	mf: 277.24
		Population 33
			Robot 0 	f:477.32 	mf: 289.10
			Robot 1 	f:414.69 	mf: 346.57
			Robot 2 	f:526.51 	mf: 30.34
			Robot 3 	f:434.86 	mf: 356.13
			Robot 4 	f:443.81 	mf: 372.77
			Robot 5 	f:452.75 	mf: 447.85
			Robot 6 	f:318.15 	mf: 390.34
			Robot 7 	f:351.84 	mf: 370.56
			Robot 8 	f:487.83 	mf: 339.28
			Robot 9 	f:130.31 	mf: 280.47
		Population 34
			Robot 0 	f:391.93 	mf: 280.39
			Robot 1 	f:479.06 	mf: 383.17
			Robot 2 	f:14.12 	mf: 14.35
			Robot 3 	f:476.83 	mf: 358.22
			Robot 4 	f:475.50 	mf: 371.30
			Robot 5 	f:383.28 	mf: 437.47
			Robot 6 	f:141.93 	mf: 361.26
			Robot 7 	f:433.24 	mf: 368.54
			Robot 8 	f:401.93 	mf: 333.68
			Robot 9 	f:364.62 	mf: 277.11
		Population 35
			Robot 0 	f:407.16 	mf: 312.49
			Robot 1 	f:325.53 	mf: 379.38
			Robot 2 	f:242.48 	mf: -5.11
			Robot 3 	f:130.27 	mf: 337.24
			Robot 4 	f:340.47 	mf: 380.68
			Robot 5 	f:428.18 	mf: 430.52
			Robot 6 	f:89.70 	mf: 349.39
			Robot 7 	f:354.54 	mf: 378.33
			Robot 8 	f:434.62 	mf: 341.36
			Robot 9 	f:242.44 	mf: 251.08
		Population 36
			Robot 0 	f:524.60 	mf: 405.64
			Robot 1 	f:181.57 	mf: 361.65
			Robot 2 	f:219.46 	mf: 17.44
			Robot 3 	f:412.44 	mf: 359.83
			Robot 4 	f:399.08 	mf: 376.01
			Robot 5 	f:479.08 	mf: 434.24
			Robot 6 	f:449.07 	mf: 351.21
			Robot 7 	f:205.82 	mf: 371.93
			Robot 8 	f:383.57 	mf: 361.57
			Robot 9 	f:452.83 	mf: 252.23
		Population 37
			Robot 0 	f:484.41 	mf: 400.58
			Robot 1 	f:282.41 	mf: 348.57
			Robot 2 	f:387.12 	mf: 41.50
			Robot 3 	f:96.78 	mf: 335.46
			Robot 4 	f:473.69 	mf: 375.08
			Robot 5 	f:486.89 	mf: 435.61
			Robot 6 	f:477.37 	mf: 368.29
			Robot 7 	f:472.73 	mf: 371.40
			Robot 8 	f:374.37 	mf: 355.01
			Robot 9 	f:535.44 	mf: 283.73
		Population 38
			Robot 0 	f:454.84 	mf: 400.48
			Robot 1 	f:272.07 	mf: 345.63
			Robot 2 	f:42.76 	mf: 2.83
			Robot 3 	f:296.44 	mf: 347.20
			Robot 4 	f:488.04 	mf: 374.24
			Robot 5 	f:468.58 	mf: 436.64
			Robot 6 	f:322.55 	mf: 362.07
			Robot 7 	f:401.10 	mf: 366.94
			Robot 8 	f:266.80 	mf: 370.21
			Robot 9 	f:425.79 	mf: 282.62
		Population 39
			Robot 0 	f:454.84 	mf: 400.48
			Robot 1 	f:272.07 	mf: 345.63
			Robot 2 	f:42.76 	mf: 2.83
			Robot 3 	f:296.44 	mf: 347.20
			Robot 4 	f:488.04 	mf: 374.24
			Robot 5 	f:468.58 	mf: 436.64
			Robot 6 	f:322.55 	mf: 362.07
			Robot 7 	f:401.10 	mf: 366.94
			Robot 8 	f:266.80 	mf: 370.21
			Robot 9 	f:425.79 	mf: 282.62
	finalFitness: 436
	Repetition 1
		Population 0
			Robot 0 	f:-226.76 	mf: 375.32
			Robot 1 	f:335.21 	mf: 325.57
			Robot 2 	f:343.90 	mf: 276.55
			Robot 3 	f:378.53 	mf: 345.28
			Robot 4 	f:331.02 	mf: 380.55
			Robot 5 	f:288.57 	mf: 427.90
			Robot 6 	f:554.66 	mf: 371.06
			Robot 7 	f:-500.07 	mf: 276.01
			Robot 8 	f:456.60 	mf: 371.30
			Robot 9 	f:82.27 	mf: 338.20
		Population 1
			Robot 0 	f:503.82 	mf: 383.99
			Robot 1 	f:382.30 	mf: 342.77
			Robot 2 	f:522.19 	mf: 310.03
			Robot 3 	f:210.54 	mf: 321.87
			Robot 4 	f:228.46 	mf: 379.70
			Robot 5 	f:484.99 	mf: 438.14
			Robot 6 	f:507.87 	mf: 373.08
