QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -10
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 3	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 1
	Repetition 0
		Population 0
			Robot 5 	f: 0.00 	ga0: 0.57 	ga1: 6.22 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.10 	gb0: 0.20 	gb1: 0.06 	gb2: -0.45 	gb3: -0.49 	gb4: -0.26 	gb5: 1.43 	gb6: -1.53 	gb7: -0.56 	gb8: 0.62 	gb9: 1.07
			Robot 6 	f: 0.00 	ga0: 0.56 	ga1: 7.05 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.52 	gb1: 0.67 	gb2: -0.23 	gb3: 0.23 	gb4: 0.16 	gb5: 2.10 	gb6: -1.90 	gb7: -0.36 	gb8: 0.75 	gb9: 1.68
			Robot 7 	f: 0.00 	ga0: 0.61 	ga1: 6.20 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.10 	ga6: 0.05 	gb0: 0.13 	gb1: -0.20 	gb2: 0.50 	gb3: -0.65 	gb4: 0.28 	gb5: 2.24 	gb6: -1.70 	gb7: -0.42 	gb8: 1.41 	gb9: 1.21
			Robot 8 	f: 0.00 	ga0: 0.61 	ga1: 6.78 	ga2: 0.05 	ga3: 0.08 	ga4: 0.04 	ga5: 0.00 	ga6: 0.01 	gb0: 0.19 	gb1: 0.37 	gb2: -0.21 	gb3: -0.16 	gb4: 0.13 	gb5: 1.62 	gb6: -1.54 	gb7: -0.15 	gb8: 0.70 	gb9: 1.16
			Robot 9 	f: 0.00 	ga0: 0.53 	ga1: 6.10 	ga2: 0.06 	ga3: 0.09 	ga4: 0.00 	ga5: 0.02 	ga6: 0.00 	gb0: 0.45 	gb1: 0.25 	gb2: -0.23 	gb3: -0.18 	gb4: -0.37 	gb5: 1.34 	gb6: -1.40 	gb7: -0.13 	gb8: 1.25 	gb9: 1.54
			Robot 10 	f: 0.00 	ga0: 0.40 	ga1: 6.85 	ga2: 0.00 	ga3: 0.05 	ga4: 0.01 	ga5: 0.09 	ga6: 0.03 	gb0: -0.08 	gb1: 0.58 	gb2: -0.25 	gb3: -0.18 	gb4: -0.36 	gb5: 1.43 	gb6: -1.27 	gb7: -0.10 	gb8: 0.86 	gb9: 1.31
			Robot 11 	f: 0.00 	ga0: 0.51 	ga1: 4.92 	ga2: 0.04 	ga3: 0.02 	ga4: 0.10 	ga5: 0.00 	ga6: 0.00 	gb0: -0.27 	gb1: 0.37 	gb2: 0.32 	gb3: -0.68 	gb4: -0.02 	gb5: 1.98 	gb6: -1.35 	gb7: 0.03 	gb8: 0.60 	gb9: 1.07
			Robot 12 	f: 0.00 	ga0: 0.61 	ga1: 6.70 	ga2: 0.00 	ga3: 0.14 	ga4: 0.09 	ga5: 0.23 	ga6: 0.00 	gb0: -0.25 	gb1: 0.64 	gb2: -0.34 	gb3: -0.45 	gb4: -0.12 	gb5: 1.31 	gb6: -2.06 	gb7: -0.06 	gb8: 0.74 	gb9: 0.82
			Robot 13 	f: 0.00 	ga0: 0.62 	ga1: 4.83 	ga2: 0.03 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.43 	gb1: 0.23 	gb2: 0.32 	gb3: -0.58 	gb4: -0.35 	gb5: 2.32 	gb6: -1.34 	gb7: -0.65 	gb8: 0.91 	gb9: 0.63
			Robot 14 	f: 0.00 	ga0: 0.57 	ga1: 6.90 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.03 	gb1: 0.74 	gb2: -0.20 	gb3: -0.73 	gb4: 0.37 	gb5: 5.79 	gb6: -5.20 	gb7: -1.62 	gb8: 2.81 	gb9: 3.39
