Environment 0
	Repetition 0
		Population 0
			Robot 7 	f:-13.09 	mf: -133.49 	g0: 0.81 	g1: 1.36 	g2: 0.83 	g3: 1.43 	g4: 25.70
			Robot 8 	f:115.56 	mf: 247.18 	g0: 1.29 	g1: 0.54 	g2: 0.84 	g3: 2.22 	g4: 46.57
			Robot 9 	f:214.76 	mf: 227.84 	g0: 0.62 	g1: 0.73 	g2: 0.50 	g3: 5.35 	g4: 18.22
			Robot 10 	f:224.87 	mf: 179.82 	g0: 1.02 	g1: 0.41 	g2: 0.48 	g3: 6.26 	g4: 71.55
			Robot 11 	f:100.86 	mf: 148.23 	g0: 1.65 	g1: 2.36 	g2: 0.39 	g3: 2.25 	g4: 36.34
			Robot 12 	f:37.41 	mf: -43.54 	g0: 1.16 	g1: 1.06 	g2: 0.27 	g3: 2.02 	g4: 35.95
			Robot 13 	f:22.37 	mf: 42.23 	g0: 1.99 	g1: 2.12 	g2: 0.40 	g3: 2.72 	g4: 14.61
			Robot 14 	f:165.42 	mf: 99.93 	g0: 1.96 	g1: 2.51 	g2: 0.37 	g3: 4.40 	g4: 40.01
			Robot 15 	f:197.85 	mf: 194.77 	g0: 2.46 	g1: 2.23 	g2: 0.55 	g3: 6.31 	g4: 40.30
			Robot 16 	f:17.92 	mf: -67.42 	g0: 0.32 	g1: 2.35 	g2: 0.16 	g3: 7.32 	g4: 43.69
			Robot 17 	f:261.01 	mf: 180.79 	g0: 2.05 	g1: 2.09 	g2: 0.56 	g3: 9.69 	g4: 30.61
			Robot 18 	f:330.86 	mf: 390.56 	g0: 2.83 	g1: 1.97 	g2: 0.95 	g3: 3.11 	g4: 27.33
			Robot 19 	f:-134.83 	mf: -237.03 	g0: 1.98 	g1: 2.56 	g2: 0.71 	g3: 1.36 	g4: 4.31
		Population 7
			Robot 0 	f:181.57 	mf: -9.78 	g0: 0.68 	g1: 0.84 	g2: 0.51 	g3: 2.74 	g4: 7.41
			Robot 1 	f:184.21 	mf: 121.38 	g0: 0.91 	g1: 2.76 	g2: 0.62 	g3: 1.87 	g4: 77.08
			Robot 2 	f:93.85 	mf: 135.99 	g0: 1.64 	g1: 1.23 	g2: 0.61 	g3: 3.17 	g4: 48.07
			Robot 3 	f:303.45 	mf: 293.86 	g0: 0.53 	g1: 0.39 	g2: 0.63 	g3: 9.12 	g4: 72.31
			Robot 4 	f:245.84 	mf: 228.83 	g0: 1.69 	g1: 0.95 	g2: 0.62 	g3: 8.93 	g4: 19.76
			Robot 5 	f:286.22 	mf: 168.06 	g0: 0.77 	g1: 0.49 	g2: 0.76 	g3: 3.15 	g4: 18.75
			Robot 6 	f:289.18 	mf: 350.68 	g0: 1.64 	g1: 1.76 	g2: 0.91 	g3: 8.81 	g4: 25.45
			Robot 7 	f:354.32 	mf: -128.13 	g0: 0.85 	g1: 1.37 	g2: 0.84 	g3: 1.55 	g4: 25.73
			Robot 8 	f:258.81 	mf: 236.90 	g0: 1.32 	g1: 0.57 	g2: 0.84 	g3: 2.24 	g4: 46.19
			Robot 9 	f:-27.63 	mf: 139.85 	g0: 0.66 	g1: 0.75 	g2: 0.52 	g3: 5.30 	g4: 18.40
			Robot 10 	f:234.11 	mf: 216.88 	g0: 1.05 	g1: 0.44 	g2: 0.49 	g3: 6.20 	g4: 69.82
			Robot 11 	f:4.56 	mf: 93.35 	g0: 1.67 	g1: 2.36 	g2: 0.40 	g3: 2.27 	g4: 36.16
			Robot 12 	f:34.78 	mf: 52.43 	g0: 1.20 	g1: 1.08 	g2: 0.28 	g3: 2.00 	g4: 35.72
			Robot 13 	f:132.95 	mf: 91.72 	g0: 2.01 	g1: 2.12 	g2: 0.41 	g3: 2.73 	g4: 14.86
			Robot 14 	f:122.86 	mf: 134.41 	g0: 1.98 	g1: 2.50 	g2: 0.38 	g3: 4.37 	g4: 39.76
			Robot 15 	f:174.93 	mf: 175.30 	g0: 2.47 	g1: 2.23 	g2: 0.55 	g3: 6.24 	g4: 40.05
			Robot 16 	f:74.14 	mf: 48.04 	g0: 0.37 	g1: 2.35 	g2: 0.17 	g3: 7.24 	g4: 43.36
			Robot 17 	f:195.55 	mf: 190.16 	g0: 2.06 	g1: 2.09 	g2: 0.57 	g3: 9.55 	g4: 30.54
			Robot 18 	f:417.69 	mf: 391.36 	g0: 2.83 	g1: 1.97 	g2: 0.95 	g3: 3.11 	g4: 27.33
			Robot 19 	f:281.86 	mf: 91.17 	g0: 2.00 	g1: 2.55 	g2: 0.72 	g3: 1.39 	g4: 4.77
		Population 8
			Robot 0 	f:233.87 	mf: 129.15 	g0: 0.72 	g1: 0.86 	g2: 0.52 	g3: 2.74 	g4: 7.81
			Robot 1 	f:-85.10 	mf: 107.96 	g0: 0.95 	g1: 2.75 	g2: 0.63 	g3: 1.90 	g4: 76.09
			Robot 2 	f:97.86 	mf: 91.21 	g0: 1.66 	g1: 1.25 	g2: 0.62 	g3: 3.17 	g4: 47.65
			Robot 3 	f:274.12 	mf: 293.72 	g0: 0.58 	g1: 0.42 	g2: 0.64 	g3: 8.88 	g4: 71.41
			Robot 4 	f:224.45 	mf: 256.61 	g0: 1.71 	g1: 0.97 	g2: 0.63 	g3: 8.81 	g4: 19.92
			Robot 5 	f:303.63 	mf: 315.95 	g0: 0.81 	g1: 0.52 	g2: 0.76 	g3: 3.15 	g4: 18.92
			Robot 6 	f:419.13 	mf: 345.85 	g0: 1.64 	g1: 1.76 	g2: 0.91 	g3: 8.81 	g4: 25.45
			Robot 7 	f:-145.16 	mf: 65.36 	g0: 0.89 	g1: 1.39 	g2: 0.84 	g3: 1.58 	g4: 25.76
			Robot 8 	f:182.10 	mf: 185.49 	g0: 1.35 	g1: 0.60 	g2: 0.84 	g3: 2.26 	g4: 45.81
			Robot 9 	f:43.90 	mf: 77.01 	g0: 0.70 	g1: 0.78 	g2: 0.53 	g3: 5.26 	g4: 18.58
			Robot 10 	f:237.08 	mf: 232.02 	g0: 1.09 	g1: 0.47 	g2: 0.50 	g3: 6.14 	g4: 68.97
			Robot 11 	f:136.04 	mf: 80.49 	g0: 1.69 	g1: 2.35 	g2: 0.41 	g3: 2.29 	g4: 35.98
			Robot 12 	f:108.02 	mf: 60.07 	g0: 1.23 	g1: 1.10 	g2: 0.29 	g3: 2.02 	g4: 35.55
			Robot 13 	f:182.34 	mf: 112.56 	g0: 2.02 	g1: 2.11 	g2: 0.42 	g3: 2.74 	g4: 15.11
			Robot 14 	f:172.20 	mf: 153.49 	g0: 2.00 	g1: 2.49 	g2: 0.39 	g3: 4.35 	g4: 39.34
			Robot 15 	f:265.55 	mf: 212.78 	g0: 2.47 	g1: 2.22 	g2: 0.56 	g3: 6.18 	g4: 39.79
			Robot 16 	f:84.91 	mf: 58.99 	g0: 0.42 	g1: 2.35 	g2: 0.19 	g3: 7.16 	g4: 43.04
			Robot 17 	f:275.33 	mf: 243.97 	g0: 2.08 	g1: 2.06 	g2: 0.57 	g3: 9.42 	g4: 30.48
			Robot 18 	f:356.96 	mf: 368.50 	g0: 2.83 	g1: 1.97 	g2: 0.95 	g3: 3.11 	g4: 27.33
			Robot 19 	f:-40.46 	mf: 35.52 	g0: 2.01 	g1: 2.53 	g2: 0.72 	g3: 1.43 	g4: 5.23
		Population 9
			Robot 0 	f:75.45 	mf: 163.63 	g0: 0.74 	g1: 0.88 	g2: 0.53 	g3: 2.86 	g4: 8.17
			Robot 1 	f:-2.55 	mf: 32.19 	g0: 0.96 	g1: 2.73 	g2: 0.64 	g3: 2.14 	g4: 75.08
			Robot 2 	f:288.90 	mf: 160.20 	g0: 1.66 	g1: 1.26 	g2: 0.63 	g3: 3.28 	g4: 47.21
			Robot 3 	f:184.89 	mf: 254.15 	g0: 0.60 	g1: 0.45 	g2: 0.64 	g3: 8.88 	g4: 70.49
			Robot 4 	f:239.43 	mf: 236.57 	g0: 1.71 	g1: 0.99 	g2: 0.63 	g3: 8.81 	g4: 20.03
			Robot 5 	f:341.23 	mf: 310.36 	g0: 0.83 	g1: 0.55 	g2: 0.77 	g3: 3.26 	g4: 19.05
			Robot 6 	f:396.18 	mf: 368.16 	g0: 1.64 	g1: 1.76 	g2: 0.91 	g3: 8.81 	g4: 25.45
			Robot 7 	f:-115.82 	mf: 31.12 	g0: 0.90 	g1: 1.39 	g2: 0.84 	g3: 1.72 	g4: 25.75
			Robot 8 	f:321.38 	mf: 254.10 	g0: 1.36 	g1: 0.62 	g2: 0.84 	g3: 2.39 	g4: 45.40
			Robot 9 	f:104.44 	mf: 40.24 	g0: 0.72 	g1: 0.80 	g2: 0.54 	g3: 5.33 	g4: 18.72
			Robot 10 	f:229.03 	mf: 233.41 	g0: 1.10 	g1: 0.50 	g2: 0.50 	g3: 6.19 	g4: 68.10
			Robot 11 	f:-33.49 	mf: 35.70 	g0: 1.69 	g1: 2.32 	g2: 0.42 	g3: 2.42 	g4: 35.77
			Robot 12 	f:143.12 	mf: 95.31 	g0: 1.24 	g1: 1.11 	g2: 0.31 	g3: 2.16 	g4: 35.35
			Robot 13 	f:168.25 	mf: 161.18 	g0: 2.02 	g1: 2.11 	g2: 0.43 	g3: 2.86 	g4: 15.32
			Robot 14 	f:136.39 	mf: 143.82 	g0: 1.99 	g1: 2.47 	g2: 0.40 	g3: 4.44 	g4: 39.06
			Robot 15 	f:222.81 	mf: 221.09 	g0: 2.46 	g1: 2.21 	g2: 0.57 	g3: 6.23 	g4: 39.50
			Robot 16 	f:91.99 	mf: 83.68 	g0: 0.44 	g1: 2.33 	g2: 0.20 	g3: 7.19 	g4: 42.69
			Robot 17 	f:255.46 	mf: 242.12 	g0: 2.07 	g1: 2.05 	g2: 0.58 	g3: 9.41 	g4: 30.38
			Robot 18 	f:270.62 	mf: 348.42 	g0: 2.80 	g1: 1.97 	g2: 0.95 	g3: 3.22 	g4: 27.30
			Robot 19 	f:255.29 	mf: 165.56 	g0: 2.01 	g1: 2.52 	g2: 0.72 	g3: 1.73 	g4: 5.63
		Population 10
			Robot 0 	f:202.98 	mf: 170.77 	g0: 0.76 	g1: 0.90 	g2: 0.54 	g3: 2.98 	g4: 8.51
			Robot 1 	f:257.05 	mf: 56.47 	g0: 0.97 	g1: 2.71 	g2: 0.64 	g3: 2.27 	g4: 74.08
