QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -10
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 3	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 1
	Repetition 0
		Population 0
			Robot 14 	f: 0.00 	ga0: 0.58 	ga1: 7.30 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -0.58 	gb1: 0.39 	gb2: 0.76 	gb3: 0.09 	gb4: 0.28 	gb5: -0.49 	gb6: -2.66 	gb7: -3.55 	gb8: 2.59 	gb9: -1.63
		Population 3
			Robot 0 	f: -570.98 	ga0: -2.12 	ga1: 6.90 	ga2: 0.00 	ga3: 0.15 	ga4: 0.00 	ga5: 0.22 	ga6: 0.00 	gb0: -1.89 	gb1: 4.59 	gb2: 0.28 	gb3: 0.08 	gb4: 0.12 	gb5: 0.06 	gb6: -0.85 	gb7: -1.13 	gb8: 0.96 	gb9: -0.47
			Robot 1 	f: 0.00 	ga0: -4.73 	ga1: 6.16 	ga2: 0.01 	ga3: 0.00 	ga4: 0.02 	ga5: 0.06 	ga6: 0.00 	gb0: -2.42 	gb1: 3.91 	gb2: 0.36 	gb3: 0.10 	gb4: -0.00 	gb5: -0.14 	gb6: -0.86 	gb7: -1.25 	gb8: 0.84 	gb9: -0.51
			Robot 2 	f: 75.05 	ga0: -1.82 	ga1: 6.73 	ga2: 0.00 	ga3: 0.22 	ga4: 0.16 	ga5: 0.00 	ga6: 0.00 	gb0: -1.56 	gb1: 4.41 	gb2: 0.33 	gb3: 0.20 	gb4: 0.20 	gb5: -0.12 	gb6: -0.80 	gb7: -1.14 	gb8: 0.78 	gb9: -0.55
			Robot 3 	f: 0.00 	ga0: 0.60 	ga1: 6.31 	ga2: 0.00 	ga3: 0.17 	ga4: 0.00 	ga5: 0.01 	ga6: 0.01 	gb0: 0.18 	gb1: 4.18 	gb2: 0.23 	gb3: 0.04 	gb4: 0.19 	gb5: -0.26 	gb6: -0.89 	gb7: -1.26 	gb8: 0.78 	gb9: -0.59
			Robot 4 	f: 0.00 	ga0: 0.59 	ga1: 1.86 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.05 	ga6: 0.00 	gb0: 0.20 	gb1: 1.63 	gb2: 0.20 	gb3: 0.07 	gb4: -0.01 	gb5: -0.08 	gb6: -0.89 	gb7: -1.26 	gb8: 0.78 	gb9: -0.59
			Robot 5 	f: 0.00 	ga0: 0.55 	ga1: 4.28 	ga2: 0.00 	ga3: 0.00 	ga4: 0.05 	ga5: 0.00 	ga6: 0.02 	gb0: 0.09 	gb1: 2.57 	gb2: 0.16 	gb3: -0.06 	gb4: 0.08 	gb5: -0.24 	gb6: -0.85 	gb7: -1.10 	gb8: 0.94 	gb9: -0.49
			Robot 6 	f: -591.33 	ga0: -5.04 	ga1: 6.98 	ga2: 0.07 	ga3: 0.01 	ga4: 0.07 	ga5: 0.00 	ga6: 0.00 	gb0: -2.97 	gb1: 4.73 	gb2: 0.22 	gb3: -0.06 	gb4: 0.23 	gb5: -0.20 	gb6: -0.89 	gb7: -1.19 	gb8: 0.75 	gb9: -0.66
			Robot 7 	f: -595.15 	ga0: -0.08 	ga1: 6.86 	ga2: 0.00 	ga3: 0.00 	ga4: 0.03 	ga5: 0.09 	ga6: 0.00 	gb0: -0.37 	gb1: 4.61 	gb2: 0.15 	gb3: 0.04 	gb4: 0.02 	gb5: -0.09 	gb6: -0.82 	gb7: -1.10 	gb8: 0.84 	gb9: -0.56
