QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 1
MaxPopulation: 500
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.3	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.20 	ga1: 2.40 	ga2: 0.77 	ga3: 0.32 	ga4: 0.10 	ga5: 0.49 	ga6: 0.36 	ga7: 0.69 	ga8: 0.49 	ga9: 0.30 	ga10: 0.18 	ga11: 0.65 	gb0: 0.39 	gb1: 0.31 	gb2: 0.52 	gb3: 0.71 	gb4: 0.47 	gb5: 0.43 	gb6: 0.17 	gb7: 0.91 	gb8: 0.51 	gb9: 0.33 	gb10: 1.48 	gb11: 2.15 	gb12: 3.29 	gb13: 2.78 	gb14: 1.36 	gb15: -2.76 	gb16: 1.73 	gb17: -4.23 	gb18: 1.15 	gb19: 1.84
		Population 3
			Robot 0 	f: 281.71 	mf: 207.00 	ga0: 0.20 	ga1: 2.40 	ga2: 0.14 	ga3: 0.00 	ga4: 0.60 	ga5: 0.48 	ga6: 0.74 	ga7: 0.71 	ga8: 0.53 	ga9: 0.30 	ga10: 0.26 	ga11: 0.16 	gb0: 0.86 	gb1: 0.81 	gb2: 0.19 	gb3: 0.69 	gb4: 0.60 	gb5: 0.27 	gb6: 0.59 	gb7: 0.54 	gb8: 0.86 	gb9: 0.26 	gb10: 0.94 	gb11: -2.39 	gb12: 0.44 	gb13: -2.27 	gb14: -2.97 	gb15: -3.39 	gb16: -2.55 	gb17: 0.67 	gb18: -2.71 	gb19: 0.09
			Robot 1 	f: 281.71 	mf: 207.00 	ga0: 0.82 	ga1: 2.40 	ga2: 0.30 	ga3: 0.06 	ga4: 0.47 	ga5: 0.37 	ga6: 0.64 	ga7: 0.71 	ga8: 0.40 	ga9: 0.30 	ga10: 0.00 	ga11: 0.41 	gb0: 0.70 	gb1: 0.45 	gb2: 0.44 	gb3: 0.91 	gb4: 0.51 	gb5: 0.69 	gb6: 0.80 	gb7: 0.44 	gb8: 0.47 	gb9: 0.25 	gb10: -2.45 	gb11: 1.74 	gb12: -0.52 	gb13: 1.63 	gb14: 1.89 	gb15: -1.90 	gb16: -1.24 	gb17: 1.63 	gb18: 3.94 	gb19: 0.30
			Robot 2 	f: 286.53 	mf: 144.75 	ga0: 0.82 	ga1: 2.40 	ga2: 0.30 	ga3: 0.06 	ga4: 0.47 	ga5: 0.37 	ga6: 0.64 	ga7: 0.71 	ga8: 0.40 	ga9: 0.30 	ga10: 0.00 	ga11: 0.41 	gb0: 0.70 	gb1: 0.45 	gb2: 0.44 	gb3: 0.91 	gb4: 0.51 	gb5: 0.69 	gb6: 0.80 	gb7: 0.44 	gb8: 0.47 	gb9: 0.25 	gb10: -2.45 	gb11: 1.74 	gb12: -0.52 	gb13: 1.63 	gb14: 1.89 	gb15: -1.90 	gb16: -1.24 	gb17: 1.63 	gb18: 3.94 	gb19: 0.30
			Robot 3 	f: -579.88 	mf: 36.00 	ga0: 0.61 	ga1: 1.28 	ga2: 0.45 	ga3: 0.11 	ga4: 0.35 	ga5: 0.27 	ga6: 0.55 	ga7: 0.70 	ga8: 0.26 	ga9: 0.30 	ga10: 0.41 	ga11: 0.49 	gb0: 0.74 	gb1: 0.62 	gb2: 0.51 	gb3: 0.39 	gb4: 0.32 	gb5: 0.12 	gb6: 0.19 	gb7: 0.67 	gb8: 0.55 	gb9: 0.18 	gb10: -2.51 	gb11: 4.20 	gb12: -0.67 	gb13: 2.41 	gb14: 0.42 	gb15: -0.84 	gb16: -2.29 	gb17: -3.48 	gb18: 1.47 	gb19: 1.87
			Robot 4 	f: 659.73 	mf: 177.25 	ga0: 0.82 	ga1: 2.40 	ga2: 0.30 	ga3: 0.06 	ga4: 0.47 	ga5: 0.37 	ga6: 0.64 	ga7: 0.71 	ga8: 0.40 	ga9: 0.30 	ga10: 0.00 	ga11: 0.41 	gb0: 0.70 	gb1: 0.45 	gb2: 0.44 	gb3: 0.91 	gb4: 0.51 	gb5: 0.69 	gb6: 0.80 	gb7: 0.44 	gb8: 0.47 	gb9: 0.25 	gb10: -2.45 	gb11: 1.74 	gb12: -0.52 	gb13: 1.63 	gb14: 1.89 	gb15: -1.90 	gb16: -1.24 	gb17: 1.63 	gb18: 3.94 	gb19: 0.30
			Robot 5 	f: 643.05 	mf: 201.00 	ga0: 0.82 	ga1: 2.40 	ga2: 0.30 	ga3: 0.06 	ga4: 0.47 	ga5: 0.37 	ga6: 0.64 	ga7: 0.71 	ga8: 0.40 	ga9: 0.30 	ga10: 0.00 	ga11: 0.41 	gb0: 0.70 	gb1: 0.45 	gb2: 0.44 	gb3: 0.91 	gb4: 0.51 	gb5: 0.69 	gb6: 0.80 	gb7: 0.44 	gb8: 0.47 	gb9: 0.25 	gb10: -2.45 	gb11: 1.74 	gb12: -0.52 	gb13: 1.63 	gb14: 1.89 	gb15: -1.90 	gb16: -1.24 	gb17: 1.63 	gb18: 3.94 	gb19: 0.30
			Robot 6 	f: -551.88 	mf: 61.50 	ga0: 0.82 	ga1: 2.40 	ga2: 0.30 	ga3: 0.06 	ga4: 0.47 	ga5: 0.37 	ga6: 0.64 	ga7: 0.71 	ga8: 0.47 	ga9: 0.30 	ga10: 0.00 	ga11: 0.37 	gb0: 0.32 	gb1: 0.43 	gb2: 0.38 	gb3: 0.43 	gb4: 0.21 	gb5: 0.47 	gb6: 0.94 	gb7: 0.09 	gb8: 0.75 	gb9: 0.75 	gb10: -0.70 	gb11: 2.26 	gb12: -0.24 	gb13: -2.92 	gb14: 2.69 	gb15: -3.74 	gb16: 2.40 	gb17: 3.78 	gb18: 3.31 	gb19: -0.27
			Robot 7 	f: -31.36 	mf: 143.50 	ga0: 0.14 	ga1: 2.40 	ga2: 0.53 	ga3: 0.08 	ga4: 0.41 	ga5: 0.32 	ga6: 0.78 	ga7: 0.70 	ga8: 0.33 	ga9: 0.30 	ga10: 0.00 	ga11: 0.44 	gb0: 0.64 	gb1: 0.25 	gb2: 0.45 	gb3: 0.54 	gb4: 0.60 	gb5: 0.27 	gb6: 0.82 	gb7: 0.87 	gb8: 0.62 	gb9: 0.64 	gb10: 2.20 	gb11: 2.30 	gb12: 1.31 	gb13: 1.43 	gb14: -1.98 	gb15: 1.02 	gb16: -2.36 	gb17: -0.85 	gb18: 2.27 	gb19: 0.87
