QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 70
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 60
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 5	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 2
	Repetition 0
		Population 0
			Robot 9 	f: 321.08 	mf: 299.80
		Population 29
			Robot 0 	f: 330.22 	mf: 309.40
			Robot 1 	f: 295.25 	mf: 232.60
			Robot 2 	f: 356.99 	mf: 296.60
			Robot 3 	f: 342.26 	mf: 280.40
			Robot 4 	f: 317.77 	mf: 325.20
			Robot 5 	f: 255.82 	mf: 285.20
			Robot 6 	f: 8.29 	mf: 239.20
			Robot 7 	f: 334.43 	mf: 297.40
			Robot 8 	f: 334.51 	mf: 323.20
			Robot 9 	f: 369.68 	mf: 349.00
		Population 30
			Robot 0 	f: 308.67 	mf: 308.00
			Robot 1 	f: 332.07 	mf: 237.20
			Robot 2 	f: 261.09 	mf: 309.00
			Robot 3 	f: 349.02 	mf: 285.00
			Robot 4 	f: 317.32 	mf: 320.40
			Robot 5 	f: 282.42 	mf: 277.00
			Robot 6 	f: 260.44 	mf: 219.00
			Robot 7 	f: 285.54 	mf: 316.00
			Robot 8 	f: 291.01 	mf: 314.40
			Robot 9 	f: 141.40 	mf: 306.60
		Population 31
			Robot 0 	f: 351.32 	mf: 318.60
			Robot 1 	f: 269.75 	mf: 238.20
			Robot 2 	f: 356.07 	mf: 320.60
			Robot 3 	f: 14.15 	mf: 235.00
			Robot 4 	f: 280.57 	mf: 320.00
			Robot 5 	f: 364.80 	mf: 298.60
			Robot 6 	f: 310.04 	mf: 238.60
			Robot 7 	f: 345.30 	mf: 320.40
			Robot 8 	f: 359.70 	mf: 335.60
			Robot 9 	f: 316.62 	mf: 301.40
		Population 32
			Robot 0 	f: 246.77 	mf: 311.40
			Robot 1 	f: 200.41 	mf: 278.20
			Robot 2 	f: 351.08 	mf: 330.80
			Robot 3 	f: 321.54 	mf: 258.40
			Robot 4 	f: 344.12 	mf: 316.60
			Robot 5 	f: 305.55 	mf: 302.60
			Robot 6 	f: 254.13 	mf: 227.60
			Robot 7 	f: 334.97 	mf: 314.80
			Robot 8 	f: 373.03 	mf: 338.60
			Robot 9 	f: 315.04 	mf: 292.40
		Population 33
			Robot 0 	f: 241.00 	mf: 295.20
			Robot 1 	f: 284.98 	mf: 276.00
			Robot 2 	f: 330.27 	mf: 330.80
			Robot 3 	f: 350.92 	mf: 275.20
			Robot 4 	f: 0.00 	mf: 251.60
			Robot 5 	f: 315.05 	mf: 304.20
			Robot 6 	f: 305.55 	mf: 227.40
			Robot 7 	f: 348.67 	mf: 329.20
			Robot 8 	f: 345.62 	mf: 340.40
			Robot 9 	f: 335.52 	mf: 295.20
		Population 34
			Robot 0 	f: 191.47 	mf: 267.40
			Robot 1 	f: 280.79 	mf: 273.00
			Robot 2 	f: 239.76 	mf: 307.40
			Robot 3 	f: 39.01 	mf: 214.60
			Robot 4 	f: 351.63 	mf: 258.40
			Robot 5 	f: 363.12 	mf: 325.80
			Robot 6 	f: 359.51 	mf: 297.60
			Robot 7 	f: 1.07 	mf: 262.60
			Robot 8 	f: 1.93 	mf: 273.80
			Robot 9 	f: 0.00 	mf: 221.40
		Population 35
			Robot 0 	f: 320.13 	mf: 269.80
			Robot 1 	f: 272.12 	mf: 261.00
			Robot 2 	f: 358.56 	mf: 326.80
			Robot 3 	f: 323.81 	mf: 209.40
			Robot 4 	f: 263.09 	mf: 247.60
			Robot 5 	f: 322.67 	mf: 333.80
			Robot 6 	f: 303.94 	mf: 306.20
			Robot 7 	f: 333.99 	mf: 272.20
			Robot 8 	f: 260.28 	mf: 267.60
			Robot 9 	f: 314.03 	mf: 256.00
		Population 36
			Robot 0 	f: 336.65 	mf: 266.80
			Robot 1 	f: 355.41 	mf: 278.20
			Robot 2 	f: 346.84 	mf: 324.80
			Robot 3 	f: 321.86 	mf: 270.80
			Robot 4 	f: 320.37 	mf: 255.60
			Robot 5 	f: 339.93 	mf: 328.80
			Robot 6 	f: 322.76 	mf: 308.60
