QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 500
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 9 	f: 501.53 	mf: 167.00 	ga0: 0.32 	ga1: 0.18 	ga2: 0.00 	ga3: 0.38 	ga4: 0.17 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.37 	ga10: 0.00 	ga11: 0.39 	gb0: 0.70 	gb1: 0.42 	gb2: 0.13 	gb3: 0.13 	gb4: 0.36 	gb5: 0.33 	gb6: 0.68 	gb7: 0.90 	gb8: 0.31 	gb9: 0.44 	gb10: -1.07 	gb11: -1.54 	gb12: -3.60 	gb13: -0.65 	gb14: 2.42 	gb15: 1.22 	gb16: -3.42 	gb17: -1.20 	gb18: 1.67 	gb19: -0.47
		Population 3
			Robot 0 	f: 0.00 	mf: 174.25 	ga0: 0.64 	ga1: 1.30 	ga2: 0.00 	ga3: 0.46 	ga4: 0.22 	ga5: 0.00 	ga6: 0.33 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.07 	ga11: 0.48 	gb0: 0.49 	gb1: 0.34 	gb2: 0.73 	gb3: 0.42 	gb4: 0.09 	gb5: 0.50 	gb6: 0.49 	gb7: 0.40 	gb8: 0.64 	gb9: 0.22 	gb10: -2.15 	gb11: 3.10 	gb12: -2.64 	gb13: 1.35 	gb14: 2.11 	gb15: -2.18 	gb16: -3.07 	gb17: 3.67 	gb18: 1.37 	gb19: 0.23
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.35 	ga1: 1.66 	ga2: 0.00 	ga3: 0.46 	ga4: 0.04 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.48 	gb0: 0.37 	gb1: 0.53 	gb2: 0.66 	gb3: 0.28 	gb4: 0.57 	gb5: 0.28 	gb6: 0.66 	gb7: 0.75 	gb8: 0.82 	gb9: 0.77 	gb10: 1.13 	gb11: 2.60 	gb12: 0.43 	gb13: -0.82 	gb14: -1.07 	gb15: 1.96 	gb16: 0.75 	gb17: -3.62 	gb18: 0.95 	gb19: 0.20
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.72 	ga1: 0.84 	ga2: 0.07 	ga3: 0.55 	ga4: 0.00 	ga5: 0.09 	ga6: 0.00 	ga7: 0.78 	ga8: 0.08 	ga9: 0.00 	ga10: 0.51 	ga11: 0.22 	gb0: 0.80 	gb1: 0.33 	gb2: 0.90 	gb3: 0.30 	gb4: 0.14 	gb5: 0.57 	gb6: 0.80 	gb7: 0.75 	gb8: 0.26 	gb9: 0.67 	gb10: -3.28 	gb11: 1.18 	gb12: -1.64 	gb13: -4.00 	gb14: -1.80 	gb15: -0.91 	gb16: 4.26 	gb17: 3.02 	gb18: -3.05 	gb19: -2.76
			Robot 3 	f: 937.87 	mf: 644.25 	ga0: 0.66 	ga1: 0.84 	ga2: 0.00 	ga3: 0.21 	ga4: 0.00 	ga5: 0.05 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.45 	ga10: 0.00 	ga11: 0.39 	gb0: 0.80 	gb1: 0.38 	gb2: 0.27 	gb3: 0.32 	gb4: 0.22 	gb5: 0.62 	gb6: 0.16 	gb7: 0.90 	gb8: 0.94 	gb9: 0.83 	gb10: -2.76 	gb11: -1.66 	gb12: -3.45 	gb13: 2.57 	gb14: -1.19 	gb15: 3.78 	gb16: 2.93 	gb17: -0.31 	gb18: 0.52 	gb19: -0.41
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.94 	ga1: 1.40 	ga2: 0.38 	ga3: 0.46 	ga4: 0.06 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.48 	gb0: 0.60 	gb1: 0.82 	gb2: 0.15 	gb3: 0.58 	gb4: 0.74 	gb5: 0.09 	gb6: 0.13 	gb7: 0.69 	gb8: 0.62 	gb9: 0.86 	gb10: 1.63 	gb11: -0.74 	gb12: -1.01 	gb13: -0.38 	gb14: -2.87 	gb15: -2.14 	gb16: -1.19 	gb17: 0.81 	gb18: 3.87 	gb19: 0.42
			Robot 5 	f: 919.38 	mf: 229.75 	ga0: 0.48 	ga1: 0.32 	ga2: 0.00 	ga3: 0.46 	ga4: 0.00 	ga5: 0.08 	ga6: 0.45 	ga7: 0.34 	ga8: 0.21 	ga9: 0.47 	ga10: 0.11 	ga11: 0.22 	gb0: 0.75 	gb1: 0.55 	gb2: 0.71 	gb3: 0.37 	gb4: 0.61 	gb5: 0.31 	gb6: 0.14 	gb7: 0.51 	gb8: 0.22 	gb9: 0.60 	gb10: -4.11 	gb11: -1.35 	gb12: -2.11 	gb13: 0.79 	gb14: -2.58 	gb15: -3.07 	gb16: -0.66 	gb17: -3.14 	gb18: 0.35 	gb19: -3.68
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.44 	ga1: 1.09 	ga2: 0.00 	ga3: 0.46 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.48 	gb0: 0.47 	gb1: 0.29 	gb2: 0.49 	gb3: 0.11 	gb4: 0.39 	gb5: 0.13 	gb6: 0.12 	gb7: 0.18 	gb8: 0.76 	gb9: 0.66 	gb10: -2.92 	gb11: -0.71 	gb12: 2.17 	gb13: 0.45 	gb14: -0.21 	gb15: 1.06 	gb16: 1.28 	gb17: -1.60 	gb18: 1.00 	gb19: 0.44
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 0.47 	ga1: 1.26 	ga2: 0.00 	ga3: 0.46 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.24 	ga9: 0.00 	ga10: 0.30 	ga11: 0.48 	gb0: 0.96 	gb1: 0.31 	gb2: 0.37 	gb3: 0.82 	gb4: 0.29 	gb5: 0.44 	gb6: 0.06 	gb7: 0.86 	gb8: 0.58 	gb9: 0.72 	gb10: -0.10 	gb11: 2.12 	gb12: 3.13 	gb13: -1.67 	gb14: -1.64 	gb15: 3.33 	gb16: -3.38 	gb17: 3.44 	gb18: 0.50 	gb19: -2.05
