QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 40
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 50
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 9 	f: 394.48 	mf: 131.33 	ga0: 0.92 	ga1: 3.17 	ga2: 0.45 	ga3: 0.00 	ga4: 0.00 	ga5: 0.44 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.45 	gb1: 0.16 	gb2: 0.23 	gb3: 0.65 	gb4: 0.12 	gb5: 0.42 	gb6: 0.60 	gb7: 0.88 	gb8: 0.85 	gb9: 0.46 	gb10: 0.03 	gb11: 0.67 	gb12: 1.82 	gb13: 3.02 	gb14: -3.93 	gb15: -1.29 	gb16: 2.24 	gb17: 2.01 	gb18: 3.52 	gb19: 1.77
		Population 3
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.63 	ga1: 4.27 	ga2: 0.00 	ga3: 0.00 	ga4: 0.20 	ga5: 0.54 	ga6: 0.00 	ga7: 0.01 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.02 	gb0: 0.39 	gb1: 0.32 	gb2: 0.38 	gb3: 0.79 	gb4: 0.55 	gb5: 0.21 	gb6: 0.70 	gb7: 0.60 	gb8: 0.59 	gb9: 0.56 	gb10: 4.39 	gb11: 3.19 	gb12: -3.71 	gb13: -1.34 	gb14: -3.21 	gb15: 3.60 	gb16: 3.09 	gb17: -2.28 	gb18: -2.32 	gb19: 1.45
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 1.05 	ga1: 3.92 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.54 	ga6: 0.00 	ga7: 0.13 	ga8: 0.00 	ga9: 0.00 	ga10: 0.68 	ga11: 0.32 	gb0: 0.66 	gb1: 0.54 	gb2: 0.22 	gb3: 0.91 	gb4: 0.27 	gb5: 0.28 	gb6: 0.10 	gb7: 0.52 	gb8: 0.69 	gb9: 0.30 	gb10: -2.85 	gb11: 3.84 	gb12: -3.42 	gb13: 3.26 	gb14: -2.92 	gb15: -1.43 	gb16: -3.78 	gb17: 3.85 	gb18: -0.99 	gb19: 0.07
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 1.09 	ga1: 4.10 	ga2: 0.00 	ga3: 0.03 	ga4: 0.00 	ga5: 0.61 	ga6: 0.00 	ga7: 0.33 	ga8: 0.07 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.37 	gb1: 0.60 	gb2: 0.93 	gb3: 0.54 	gb4: 0.26 	gb5: 0.21 	gb6: 0.82 	gb7: 0.44 	gb8: 0.74 	gb9: 0.90 	gb10: -3.08 	gb11: -1.69 	gb12: -0.03 	gb13: 1.06 	gb14: -0.77 	gb15: 2.24 	gb16: -3.08 	gb17: 2.22 	gb18: -2.37 	gb19: -1.45
			Robot 3 	f: 95.28 	mf: 520.00 	ga0: 1.03 	ga1: 4.75 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.69 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.11 	gb0: 0.78 	gb1: 0.75 	gb2: 0.43 	gb3: 0.18 	gb4: 0.38 	gb5: 0.30 	gb6: 0.43 	gb7: 0.32 	gb8: 0.61 	gb9: 0.80 	gb10: 1.92 	gb11: -2.47 	gb12: -1.17 	gb13: -3.89 	gb14: -1.30 	gb15: 3.04 	gb16: -2.12 	gb17: -0.19 	gb18: -0.20 	gb19: -0.29
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 1.11 	ga1: 2.31 	ga2: 0.00 	ga3: 0.46 	ga4: 0.00 	ga5: 0.54 	ga6: 0.00 	ga7: 0.05 	ga8: 0.00 	ga9: 0.00 	ga10: 0.11 	ga11: 0.15 	gb0: 0.56 	gb1: 0.28 	gb2: 0.23 	gb3: 0.80 	gb4: 0.32 	gb5: 0.47 	gb6: 0.49 	gb7: 0.11 	gb8: 0.23 	gb9: 0.28 	gb10: 3.39 	gb11: -2.82 	gb12: 3.36 	gb13: -3.71 	gb14: 2.14 	gb15: -0.96 	gb16: 0.43 	gb17: -1.77 	gb18: -1.40 	gb19: -3.48
			Robot 5 	f: 0.00 	mf: 97.00 	ga0: 1.20 	ga1: 3.60 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.54 	ga6: 0.00 	ga7: 0.00 	ga8: 0.06 	ga9: 0.00 	ga10: 0.33 	ga11: 0.00 	gb0: 0.50 	gb1: 0.09 	gb2: 0.55 	gb3: 0.49 	gb4: 0.10 	gb5: 0.20 	gb6: 0.30 	gb7: 0.64 	gb8: 0.71 	gb9: 0.56 	gb10: -3.96 	gb11: 0.86 	gb12: 1.26 	gb13: -1.12 	gb14: -0.49 	gb15: 2.95 	gb16: -2.80 	gb17: 0.09 	gb18: -2.51 	gb19: 0.30
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 1.17 	ga1: 3.27 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.54 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.09 	gb0: 0.45 	gb1: 0.87 	gb2: 0.61 	gb3: 0.89 	gb4: 0.06 	gb5: 0.85 	gb6: 0.61 	gb7: 0.36 	gb8: 0.86 	gb9: 0.76 	gb10: 2.86 	gb11: -2.00 	gb12: -1.91 	gb13: -2.62 	gb14: 0.25 	gb15: 1.86 	gb16: -2.80 	gb17: 1.00 	gb18: -0.60 	gb19: 0.04
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 1.15 	ga1: 0.85 	ga2: 0.00 	ga3: 0.38 	ga4: 0.20 	ga5: 0.54 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.52 	gb1: 0.51 	gb2: 0.90 	gb3: 0.72 	gb4: 0.83 	gb5: 0.76 	gb6: 0.48 	gb7: 0.29 	gb8: 0.36 	gb9: 0.40 	gb10: 1.47 	gb11: -0.13 	gb12: -3.44 	gb13: 0.34 	gb14: -2.56 	gb15: 0.95 	gb16: -2.11 	gb17: -1.03 	gb18: 3.97 	gb19: -4.18
