QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 3	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 1
	Repetition 0
		Population 0
			Robot 6 	f: 0.00 	ga0: 0.51 	ga1: 1.76 	ga2: 0.00 	ga3: 0.00 	ga4: 0.06 	ga5: 0.01 	ga6: 0.00 	gb0: 0.18 	gb1: -0.07 	gb2: 0.50 	gb3: 0.64 	gb4: 0.36 	gb5: 0.65 	gb6: 2.13 	gb7: -0.76 	gb8: -2.92 	gb9: 2.14
			Robot 7 	f: 0.00 	ga0: 0.50 	ga1: 1.21 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.04 	gb0: 0.00 	gb1: 0.12 	gb2: -0.24 	gb3: -0.13 	gb4: 0.43 	gb5: 1.26 	gb6: 2.41 	gb7: -0.29 	gb8: -2.73 	gb9: 1.03
			Robot 8 	f: 0.00 	ga0: 0.50 	ga1: 0.99 	ga2: 0.24 	ga3: 0.03 	ga4: 0.05 	ga5: 0.03 	ga6: 0.09 	gb0: 0.56 	gb1: 0.14 	gb2: 0.46 	gb3: 0.29 	gb4: 0.51 	gb5: 1.48 	gb6: 2.52 	gb7: -0.58 	gb8: -2.67 	gb9: 1.61
			Robot 9 	f: 0.00 	ga0: 0.55 	ga1: 0.89 	ga2: 0.00 	ga3: 0.19 	ga4: 0.00 	ga5: 0.00 	ga6: 0.19 	gb0: 0.24 	gb1: 0.36 	gb2: 0.75 	gb3: 0.65 	gb4: 0.56 	gb5: 0.96 	gb6: 1.63 	gb7: -0.50 	gb8: -2.94 	gb9: 1.45
			Robot 10 	f: 0.00 	ga0: 0.57 	ga1: 0.91 	ga2: 0.17 	ga3: 0.00 	ga4: 0.00 	ga5: 0.27 	ga6: 0.00 	gb0: 0.54 	gb1: 0.37 	gb2: 0.18 	gb3: -0.17 	gb4: 0.26 	gb5: 1.46 	gb6: 2.11 	gb7: -0.40 	gb8: -2.58 	gb9: 1.15
			Robot 11 	f: 0.00 	ga0: 0.41 	ga1: 1.58 	ga2: 0.00 	ga3: 0.06 	ga4: 0.11 	ga5: 0.00 	ga6: 0.00 	gb0: 0.11 	gb1: 0.58 	gb2: -0.10 	gb3: 0.32 	gb4: 0.50 	gb5: 1.70 	gb6: 1.78 	gb7: 0.05 	gb8: -3.26 	gb9: 1.83
			Robot 12 	f: 0.00 	ga0: 0.60 	ga1: 0.39 	ga2: 0.00 	ga3: 0.29 	ga4: 0.00 	ga5: 0.08 	ga6: 0.16 	gb0: 0.43 	gb1: 0.03 	gb2: 0.33 	gb3: 0.28 	gb4: -0.20 	gb5: 1.31 	gb6: 1.46 	gb7: -0.49 	gb8: -2.91 	gb9: 1.59
			Robot 13 	f: 0.00 	ga0: 0.57 	ga1: 1.03 	ga2: 0.00 	ga3: 0.04 	ga4: 0.10 	ga5: 0.01 	ga6: 0.16 	gb0: 0.35 	gb1: 0.06 	gb2: 0.68 	gb3: 0.04 	gb4: -0.12 	gb5: 1.37 	gb6: 1.82 	gb7: -0.53 	gb8: -2.95 	gb9: 1.31
			Robot 14 	f: 0.00 	ga0: 0.55 	ga1: 0.80 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.83 	gb1: 0.31 	gb2: 0.78 	gb3: 0.83 	gb4: 0.27 	gb5: 3.72 	gb6: 6.01 	gb7: -0.79 	gb8: -8.66 	gb9: 4.82
		Population 3
			Robot 0 	f: 0.00 	ga0: 0.55 	ga1: 0.45 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.56 	gb1: 0.47 	gb2: 0.18 	gb3: 0.50 	gb4: 0.35 	gb5: 1.59 	gb6: 2.30 	gb7: -0.53 	gb8: -3.04 	gb9: 1.62
			Robot 1 	f: 0.00 	ga0: 0.55 	ga1: 1.10 	ga2: 0.00 	ga3: 0.02 	ga4: 0.02 	ga5: 0.12 	ga6: 0.00 	gb0: 0.44 	gb1: -0.29 	gb2: -0.21 	gb3: 0.36 	gb4: -0.30 	gb5: 1.42 	gb6: 1.65 	gb7: -0.70 	gb8: -2.49 	gb9: 1.24
			Robot 2 	f: 0.00 	ga0: 0.53 	ga1: 1.28 	ga2: 0.00 	ga3: 0.14 	ga4: 0.02 	ga5: 0.00 	ga6: 0.03 	gb0: 0.55 	gb1: 0.34 	gb2: 0.77 	gb3: 0.46 	gb4: -0.08 	gb5: 1.56 	gb6: 1.87 	gb7: 0.21 	gb8: -3.02 	gb9: 1.09
			Robot 3 	f: 0.00 	ga0: 0.54 	ga1: 0.96 	ga2: 0.00 	ga3: 0.15 	ga4: 0.00 	ga5: 0.02 	ga6: 0.04 	gb0: -0.00 	gb1: 0.06 	gb2: 0.18 	gb3: 0.05 	gb4: -0.05 	gb5: 1.34 	gb6: 1.65 	gb7: -0.04 	gb8: -2.68 	gb9: 2.06
			Robot 4 	f: 0.00 	ga0: 0.56 	ga1: 0.63 	ga2: 0.04 	ga3: 0.00 	ga4: 0.00 	ga5: 0.08 	ga6: 0.00 	gb0: -0.03 	gb1: 0.56 	gb2: 0.01 	gb3: -0.03 	gb4: 0.45 	gb5: 1.55 	gb6: 2.16 	gb7: -0.35 	gb8: -2.73 	gb9: 1.60
