QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 1
MaxPopulation: 500
MaxTime: 6000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.2	 nc: 0.6	 nm: 0.3	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.75 	ga1: 2.76 	ga2: 0.24 	ga3: 0.27 	ga4: 0.04 	ga5: 0.00 	ga6: 0.00 	ga7: 0.44 	ga8: 0.36 	ga9: 0.00 	ga10: 0.00 	ga11: 0.55 	gb0: 0.31 	gb1: 0.57 	gb2: 0.83 	gb3: 0.63 	gb4: 0.56 	gb5: 0.65 	gb6: 0.64 	gb7: 0.75 	gb8: 0.65 	gb9: 0.08 	gb10: -3.65 	gb11: 2.45 	gb12: -2.52 	gb13: 2.44 	gb14: -0.94 	gb15: 1.43 	gb16: 2.15 	gb17: -2.42 	gb18: 2.39 	gb19: -2.87
		Population 3
			Robot 0 	f: 66.13 	mf: 1509.00 	ga0: 0.26 	ga1: 0.51 	ga2: 0.00 	ga3: 0.00 	ga4: 0.45 	ga5: 0.00 	ga6: 0.63 	ga7: 0.00 	ga8: 0.00 	ga9: 0.43 	ga10: 0.00 	ga11: 0.00 	gb0: 0.23 	gb1: 0.72 	gb2: 0.40 	gb3: 0.08 	gb4: 0.74 	gb5: 0.73 	gb6: 0.38 	gb7: 0.64 	gb8: 0.60 	gb9: 0.32 	gb10: -0.68 	gb11: 1.71 	gb12: 2.17 	gb13: 0.22 	gb14: 0.51 	gb15: 0.98 	gb16: 2.67 	gb17: 3.42 	gb18: 1.49 	gb19: 1.22
			Robot 1 	f: 3378.03 	mf: 844.50 	ga0: 0.89 	ga1: 4.97 	ga2: 0.34 	ga3: 0.07 	ga4: 0.43 	ga5: 0.46 	ga6: 0.05 	ga7: 0.56 	ga8: 0.18 	ga9: 0.49 	ga10: 0.00 	ga11: 0.14 	gb0: 0.28 	gb1: 0.40 	gb2: 0.37 	gb3: 0.27 	gb4: 0.43 	gb5: 0.42 	gb6: 0.63 	gb7: 0.44 	gb8: 0.66 	gb9: 0.68 	gb10: 1.17 	gb11: -0.70 	gb12: -0.58 	gb13: 0.99 	gb14: -0.58 	gb15: 1.49 	gb16: 0.94 	gb17: 3.43 	gb18: 0.74 	gb19: -3.33
			Robot 2 	f: 1590.70 	mf: 1125.75 	ga0: 0.85 	ga1: 4.60 	ga2: 0.23 	ga3: 0.10 	ga4: 0.37 	ga5: 0.57 	ga6: 0.04 	ga7: 0.51 	ga8: 0.18 	ga9: 0.42 	ga10: 0.00 	ga11: 0.21 	gb0: 0.37 	gb1: 0.48 	gb2: 0.30 	gb3: 0.26 	gb4: 0.56 	gb5: 0.37 	gb6: 0.70 	gb7: 0.56 	gb8: 0.65 	gb9: 0.69 	gb10: 1.20 	gb11: 0.09 	gb12: 0.24 	gb13: 0.98 	gb14: -0.00 	gb15: 0.43 	gb16: -0.29 	gb17: 3.14 	gb18: 1.09 	gb19: -3.09
			Robot 3 	f: -5748.61 	mf: 55.50 	ga0: 0.85 	ga1: 4.60 	ga2: 0.14 	ga3: 0.10 	ga4: 0.37 	ga5: 0.57 	ga6: 0.04 	ga7: 0.34 	ga8: 0.18 	ga9: 0.79 	ga10: 0.00 	ga11: 0.21 	gb0: 0.48 	gb1: 0.15 	gb2: 0.50 	gb3: 0.11 	gb4: 0.62 	gb5: 0.65 	gb6: 0.22 	gb7: 0.39 	gb8: 0.78 	gb9: 0.62 	gb10: -1.71 	gb11: -3.13 	gb12: -3.11 	gb13: 1.93 	gb14: 2.74 	gb15: 1.15 	gb16: -2.14 	gb17: 1.71 	gb18: 2.49 	gb19: -2.21
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.96 	ga1: 4.60 	ga2: 0.23 	ga3: 0.51 	ga4: 0.37 	ga5: 0.61 	ga6: 0.07 	ga7: 0.51 	ga8: 0.18 	ga9: 0.42 	ga10: 0.00 	ga11: 0.21 	gb0: 0.45 	gb1: 0.33 	gb2: 0.19 	gb3: 0.68 	gb4: 0.43 	gb5: 0.24 	gb6: 0.82 	gb7: 0.76 	gb8: 0.55 	gb9: 0.76 	gb10: 2.68 	gb11: -2.70 	gb12: -1.74 	gb13: 1.28 	gb14: -0.51 	gb15: 0.87 	gb16: -2.62 	gb17: -1.36 	gb18: 2.88 	gb19: 0.06
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.83 	ga1: 4.41 	ga2: 0.45 	ga3: 0.12 	ga4: 0.33 	ga5: 0.63 	ga6: 0.61 	ga7: 0.49 	ga8: 0.18 	ga9: 0.39 	ga10: 0.00 	ga11: 0.58 	gb0: 0.59 	gb1: 0.65 	gb2: 0.50 	gb3: 0.44 	gb4: 0.71 	gb5: 0.75 	gb6: 0.47 	gb7: 0.79 	gb8: 0.43 	gb9: 0.75 	gb10: 3.63 	gb11: 1.82 	gb12: -2.14 	gb13: 0.22 	gb14: 3.28 	gb15: 2.13 	gb16: 1.00 	gb17: -2.07 	gb18: 3.64 	gb19: -3.43
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.26 	ga1: 2.08 	ga2: 0.23 	ga3: 0.05 	ga4: 0.37 	ga5: 0.57 	ga6: 0.04 	ga7: 0.51 	ga8: 0.61 	ga9: 0.42 	ga10: 0.38 	ga11: 0.21 	gb0: 0.48 	gb1: 0.79 	gb2: 0.57 	gb3: 0.65 	gb4: 0.58 	gb5: 0.53 	gb6: 0.55 	gb7: 0.50 	gb8: 0.31 	gb9: 0.28 	gb10: 1.27 	gb11: 1.74 	gb12: -2.90 	gb13: -2.37 	gb14: -2.02 	gb15: 2.98 	gb16: -0.18 	gb17: 3.23 	gb18: -2.26 	gb19: 1.19
			Robot 7 	f: 0.00 	mf: 32.75 	ga0: 0.85 	ga1: 4.60 	ga2: 0.23 	ga3: 0.10 	ga4: 0.37 	ga5: 0.66 	ga6: 0.04 	ga7: 0.51 	ga8: 0.18 	ga9: 0.42 	ga10: 0.00 	ga11: 0.19 	gb0: 0.54 	gb1: 0.34 	gb2: 0.31 	gb3: 0.51 	gb4: 0.36 	gb5: 0.11 	gb6: 0.71 	gb7: 0.25 	gb8: 0.87 	gb9: 0.54 	gb10: 2.34 	gb11: -2.02 	gb12: 0.13 	gb13: -1.32 	gb14: -0.79 	gb15: 1.09 	gb16: -3.08 	gb17: 1.43 	gb18: 0.50 	gb19: -3.94
