QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -100
PointsMoving: 10
MaxPopulation: 40
MaxTime: 120
EnvMutationRate: 0.2

Environment 0
	Repetition 0
		Population 0
			Robot 0 	f:100.09 	mf: 104.27 	g0: 0.72 	g1: 2.58 	g2: 0.77 	g3: 8.01 	g4: 50.42
			Robot 1 	f:230.22 	mf: 178.92 	g0: 0.36 	g1: 2.02 	g2: 0.79 	g3: 8.16 	g4: 23.15
			Robot 2 	f:206.22 	mf: 138.49 	g0: 0.75 	g1: 1.14 	g2: 0.65 	g3: 7.95 	g4: 28.87
			Robot 3 	f:61.26 	mf: 95.03 	g0: 0.70 	g1: 1.57 	g2: 0.63 	g3: 7.62 	g4: 22.44
			Robot 4 	f:153.45 	mf: 197.22 	g0: 0.81 	g1: 1.10 	g2: 0.77 	g3: 9.35 	g4: 58.12
			Robot 5 	f:45.06 	mf: 91.46 	g0: 2.73 	g1: 0.61 	g2: 0.69 	g3: 2.02 	g4: 21.89
			Robot 6 	f:194.77 	mf: 146.51 	g0: 1.42 	g1: 2.86 	g2: 0.72 	g3: 7.77 	g4: 61.84
			Robot 7 	f:88.68 	mf: 109.16 	g0: 0.70 	g1: 2.16 	g2: 0.76 	g3: 7.61 	g4: 22.35
			Robot 8 	f:227.69 	mf: 224.26 	g0: 0.69 	g1: 2.16 	g2: 0.79 	g3: 7.96 	g4: 21.75
			Robot 9 	f:204.58 	mf: 133.66 	g0: 2.56 	g1: 2.17 	g2: 0.97 	g3: 8.00 	g4: 70.65
		Population 18
			Robot 0 	f:215.59 	mf: 140.37 	g0: 0.38 	g1: 2.06 	g2: 0.22 	g3: 7.63 	g4: 25.06
			Robot 1 	f:228.24 	mf: 230.61 	g0: 0.36 	g1: 2.02 	g2: 0.79 	g3: 8.16 	g4: 23.15
			Robot 2 	f:177.81 	mf: 141.17 	g0: 0.38 	g1: 0.81 	g2: 0.55 	g3: 1.81 	g4: 23.71
			Robot 3 	f:174.28 	mf: 150.99 	g0: 2.02 	g1: 2.92 	g2: 0.57 	g3: 8.12 	g4: 23.10
			Robot 4 	f:214.94 	mf: 195.90 	g0: 1.56 	g1: 2.79 	g2: 0.79 	g3: 8.24 	g4: 66.99
			Robot 5 	f:31.92 	mf: 92.52 	g0: 1.04 	g1: 1.39 	g2: 0.78 	g3: 7.73 	g4: 79.06
			Robot 6 	f:-259.22 	mf: 45.12 	g0: 0.43 	g1: 0.85 	g2: 0.78 	g3: 8.13 	g4: 25.86
			Robot 7 	f:204.34 	mf: 116.83 	g0: 2.29 	g1: 2.03 	g2: 0.79 	g3: 8.12 	g4: 23.10
			Robot 8 	f:232.43 	mf: 227.82 	g0: 0.69 	g1: 2.16 	g2: 0.79 	g3: 7.96 	g4: 21.75
			Robot 9 	f:-26.62 	mf: 132.29 	g0: 0.51 	g1: 2.03 	g2: 0.82 	g3: 4.52 	g4: 13.52
		Population 19
			Robot 0 	f:66.33 	mf: 127.34 	g0: 1.64 	g1: 0.60 	g2: 0.75 	g3: 9.65 	g4: 61.67
			Robot 1 	f:229.03 	mf: 229.16 	g0: 0.36 	g1: 2.02 	g2: 0.79 	g3: 8.16 	g4: 23.15
