QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 1
MaxPopulation: 500
MaxTime: 6000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.2	 nc: 0.6	 nm: 0.3	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 2.88 	ga2: 0.25 	ga3: 0.00 	ga4: 0.10 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.55 	ga10: 0.00 	ga11: 0.00 	gb0: 0.47 	gb1: 0.35 	gb2: 0.11 	gb3: 0.32 	gb4: 0.57 	gb5: 0.62 	gb6: 0.68 	gb7: 0.48 	gb8: 0.34 	gb9: 0.62 	gb10: -2.73 	gb11: -1.58 	gb12: 1.76 	gb13: 0.18 	gb14: -0.36 	gb15: 2.02 	gb16: -3.31 	gb17: 1.27 	gb18: 1.45 	gb19: 4.52
		Population 3
			Robot 0 	f: 5803.47 	mf: 1450.75 	ga0: 1.24 	ga1: 2.88 	ga2: 0.53 	ga3: 0.00 	ga4: 0.10 	ga5: 0.69 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.84 	ga10: 0.00 	ga11: 0.00 	gb0: 0.33 	gb1: 0.44 	gb2: 0.54 	gb3: 0.60 	gb4: 0.24 	gb5: 0.48 	gb6: 0.34 	gb7: 0.59 	gb8: 0.22 	gb9: 0.24 	gb10: 0.72 	gb11: 3.82 	gb12: -2.37 	gb13: -2.72 	gb14: 2.95 	gb15: 0.81 	gb16: -0.57 	gb17: 1.91 	gb18: -0.61 	gb19: 1.91
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 2.88 	ga2: 0.18 	ga3: 0.00 	ga4: 0.10 	ga5: 0.00 	ga6: 0.62 	ga7: 0.00 	ga8: 0.00 	ga9: 0.70 	ga10: 0.00 	ga11: 0.00 	gb0: 0.48 	gb1: 0.23 	gb2: 0.14 	gb3: 0.60 	gb4: 0.77 	gb5: 0.35 	gb6: 0.58 	gb7: 0.76 	gb8: 0.61 	gb9: 0.52 	gb10: -0.95 	gb11: -0.49 	gb12: 1.72 	gb13: -1.66 	gb14: 2.41 	gb15: -1.29 	gb16: -0.54 	gb17: -1.90 	gb18: -2.09 	gb19: 0.64
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 2.88 	ga2: 0.25 	ga3: 0.00 	ga4: 0.10 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.55 	ga10: 0.29 	ga11: 0.00 	gb0: 0.32 	gb1: 0.04 	gb2: 0.77 	gb3: 0.50 	gb4: 0.60 	gb5: 0.66 	gb6: 0.65 	gb7: 0.71 	gb8: 0.45 	gb9: 0.35 	gb10: 2.73 	gb11: 3.34 	gb12: 2.32 	gb13: 1.04 	gb14: 3.13 	gb15: -3.37 	gb16: 1.07 	gb17: -0.09 	gb18: 2.88 	gb19: 2.01
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 2.88 	ga2: 0.25 	ga3: 0.10 	ga4: 0.10 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.43 	ga9: 0.55 	ga10: 0.40 	ga11: 0.00 	gb0: 0.85 	gb1: 0.57 	gb2: 0.64 	gb3: 0.84 	gb4: 0.27 	gb5: 0.37 	gb6: 0.21 	gb7: 0.46 	gb8: 0.70 	gb9: 0.45 	gb10: 0.51 	gb11: -0.63 	gb12: 0.68 	gb13: 1.42 	gb14: -2.17 	gb15: 2.37 	gb16: 1.42 	gb17: 2.43 	gb18: -1.97 	gb19: -2.31
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 2.88 	ga2: 0.25 	ga3: 0.00 	ga4: 0.10 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.24 	ga10: 0.58 	ga11: 0.00 	gb0: 0.91 	gb1: 0.34 	gb2: 0.60 	gb3: 0.22 	gb4: 0.73 	gb5: 0.56 	gb6: 0.20 	gb7: 0.29 	gb8: 0.48 	gb9: 0.76 	gb10: 1.77 	gb11: -1.03 	gb12: -2.30 	gb13: 0.49 	gb14: -2.52 	gb15: -3.45 	gb16: 0.62 	gb17: 1.21 	gb18: 0.49 	gb19: 1.53
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 2.88 	ga2: 0.25 	ga3: 0.13 	ga4: 0.10 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.55 	ga10: 0.00 	ga11: 0.00 	gb0: 0.89 	gb1: 0.36 	gb2: 0.22 	gb3: 0.25 	gb4: 0.21 	gb5: 0.71 	gb6: 0.59 	gb7: 0.90 	gb8: 0.77 	gb9: 0.46 	gb10: -0.73 	gb11: 1.98 	gb12: -0.03 	gb13: -0.05 	gb14: 2.94 	gb15: 1.93 	gb16: 2.56 	gb17: 0.60 	gb18: 4.27 	gb19: 2.03
			Robot 6 	f: 18.60 	mf: -0.25 	ga0: 1.24 	ga1: 2.88 	ga2: 0.35 	ga3: 0.00 	ga4: 0.10 	ga5: 0.00 	ga6: 0.00 	ga7: 0.50 	ga8: 0.00 	ga9: 0.55 	ga10: 0.44 	ga11: 0.00 	gb0: 0.71 	gb1: 0.70 	gb2: 0.64 	gb3: 0.64 	gb4: 0.82 	gb5: 0.72 	gb6: 0.31 	gb7: 0.29 	gb8: 0.22 	gb9: 0.23 	gb10: -0.28 	gb11: -1.48 	gb12: 0.00 	gb13: 2.84 	gb14: 1.40 	gb15: -3.83 	gb16: 1.11 	gb17: 0.13 	gb18: 1.68 	gb19: -2.81
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 2.88 	ga2: 0.25 	ga3: 0.00 	ga4: 0.10 	ga5: 0.00 	ga6: 0.13 	ga7: 0.00 	ga8: 0.28 	ga9: 0.55 	ga10: 0.51 	ga11: 0.38 	gb0: 0.59 	gb1: 0.27 	gb2: 0.49 	gb3: 0.68 	gb4: 0.20 	gb5: 0.71 	gb6: 0.83 	gb7: 0.52 	gb8: 0.73 	gb9: 0.72 	gb10: -1.65 	gb11: -1.96 	gb12: -2.32 	gb13: -1.94 	gb14: -1.30 	gb15: -3.20 	gb16: 0.41 	gb17: 2.07 	gb18: 4.05 	gb19: 0.13
