QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 50
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.54 	ga1: 6.72 	ga2: 0.00 	ga3: 0.00 	ga4: 0.26 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.06 	ga11: 0.28 	gb0: 0.79 	gb1: 0.37 	gb2: 0.16 	gb3: 0.76 	gb4: 0.16 	gb5: 0.87 	gb6: 0.70 	gb7: 0.65 	gb8: 0.50 	gb9: 0.52 	gb10: -2.84 	gb11: -0.60 	gb12: 0.41 	gb13: 3.52 	gb14: -3.46 	gb15: 3.82 	gb16: 3.44 	gb17: -1.77 	gb18: -2.45 	gb19: -1.71
		Population 3
			Robot 0 	f: 1267.32 	mf: 316.75 	ga0: 0.80 	ga1: 6.04 	ga2: 0.00 	ga3: 0.00 	ga4: 0.41 	ga5: 0.45 	ga6: 0.00 	ga7: 0.01 	ga8: 0.11 	ga9: 0.00 	ga10: 0.10 	ga11: 0.45 	gb0: 0.43 	gb1: 0.79 	gb2: 0.19 	gb3: 0.57 	gb4: 0.54 	gb5: 0.79 	gb6: 0.65 	gb7: 0.85 	gb8: 0.59 	gb9: 0.49 	gb10: 2.32 	gb11: -0.02 	gb12: 3.13 	gb13: -3.43 	gb14: 3.37 	gb15: -1.00 	gb16: -0.58 	gb17: 2.84 	gb18: -1.25 	gb19: 2.05
			Robot 1 	f: 1515.20 	mf: 721.00 	ga0: 0.77 	ga1: 7.04 	ga2: 0.00 	ga3: 0.00 	ga4: 0.64 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.16 	ga11: 0.70 	gb0: 0.30 	gb1: 0.28 	gb2: 0.57 	gb3: 0.52 	gb4: 0.74 	gb5: 0.22 	gb6: 0.38 	gb7: 0.72 	gb8: 0.83 	gb9: 0.75 	gb10: 2.79 	gb11: -2.43 	gb12: 2.49 	gb13: 1.84 	gb14: -3.57 	gb15: 3.10 	gb16: 0.87 	gb17: 2.33 	gb18: 2.85 	gb19: -1.34
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.71 	ga1: 7.29 	ga2: 0.00 	ga3: 0.00 	ga4: 0.41 	ga5: 0.00 	ga6: 0.00 	ga7: 0.51 	ga8: 0.00 	ga9: 0.19 	ga10: 0.10 	ga11: 0.45 	gb0: 0.35 	gb1: 0.23 	gb2: 0.22 	gb3: 0.39 	gb4: 0.82 	gb5: 0.18 	gb6: 0.41 	gb7: 0.85 	gb8: 0.42 	gb9: 0.65 	gb10: -3.14 	gb11: 1.30 	gb12: -1.10 	gb13: -0.93 	gb14: -0.86 	gb15: -1.98 	gb16: 1.31 	gb17: -2.65 	gb18: 2.37 	gb19: 0.61
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.75 	ga1: 6.03 	ga2: 0.09 	ga3: 0.00 	ga4: 0.41 	ga5: 0.00 	ga6: 0.00 	ga7: 0.08 	ga8: 0.00 	ga9: 0.00 	ga10: 0.10 	ga11: 0.45 	gb0: 0.18 	gb1: 0.60 	gb2: 0.70 	gb3: 0.57 	gb4: 0.70 	gb5: 0.14 	gb6: 0.50 	gb7: 0.18 	gb8: 0.84 	gb9: 0.91 	gb10: 0.49 	gb11: 2.10 	gb12: -0.20 	gb13: 4.32 	gb14: -1.48 	gb15: -3.08 	gb16: -2.71 	gb17: -2.07 	gb18: -2.98 	gb19: -0.76
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.15 	ga1: 5.86 	ga2: 0.04 	ga3: 0.00 	ga4: 0.41 	ga5: 0.00 	ga6: 0.10 	ga7: 0.21 	ga8: 0.16 	ga9: 0.15 	ga10: 0.10 	ga11: 0.45 	gb0: 0.28 	gb1: 0.14 	gb2: 0.51 	gb3: 0.48 	gb4: 0.59 	gb5: 0.20 	gb6: 0.73 	gb7: 0.12 	gb8: 0.63 	gb9: 0.15 	gb10: -1.21 	gb11: -2.77 	gb12: -3.28 	gb13: 2.73 	gb14: 0.70 	gb15: 0.78 	gb16: 3.85 	gb17: -0.41 	gb18: -1.23 	gb19: -1.66
			Robot 5 	f: 533.42 	mf: 320.50 	ga0: 0.62 	ga1: 6.53 	ga2: 0.00 	ga3: 0.00 	ga4: 0.47 	ga5: 0.00 	ga6: 0.00 	ga7: 0.29 	ga8: 0.00 	ga9: 0.00 	ga10: 0.10 	ga11: 0.73 	gb0: 0.51 	gb1: 0.10 	gb2: 0.50 	gb3: 0.65 	gb4: 0.34 	gb5: 0.80 	gb6: 0.71 	gb7: 0.44 	gb8: 0.43 	gb9: 0.47 	gb10: -0.75 	gb11: 3.37 	gb12: 0.08 	gb13: -1.25 	gb14: 2.89 	gb15: -1.03 	gb16: 2.56 	gb17: 0.34 	gb18: 4.42 	gb19: -0.96
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.66 	ga1: 7.22 	ga2: 0.00 	ga3: 0.00 	ga4: 0.41 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.10 	ga11: 0.45 	gb0: 0.66 	gb1: 0.30 	gb2: 0.83 	gb3: 0.46 	gb4: 0.64 	gb5: 0.20 	gb6: 0.77 	gb7: 0.20 	gb8: 0.21 	gb9: 0.13 	gb10: -2.58 	gb11: 1.97 	gb12: 0.01 	gb13: -3.60 	gb14: -2.97 	gb15: -0.69 	gb16: 3.79 	gb17: -0.59 	gb18: -2.79 	gb19: -0.11
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 0.79 	ga1: 7.26 	ga2: 0.00 	ga3: 0.00 	ga4: 0.41 	ga5: 0.00 	ga6: 0.00 	ga7: 0.71 	ga8: 0.00 	ga9: 0.12 	ga10: 0.10 	ga11: 0.45 	gb0: 0.59 	gb1: 0.48 	gb2: 0.33 	gb3: 0.29 	gb4: 0.81 	gb5: 0.77 	gb6: 0.38 	gb7: 0.89 	gb8: 0.40 	gb9: 0.77 	gb10: 2.00 	gb11: -3.14 	gb12: 2.55 	gb13: -1.19 	gb14: -1.44 	gb15: -2.46 	gb16: 0.35 	gb17: 3.04 	gb18: 1.57 	gb19: 1.73
