QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -10
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 3.54	 mr: 0.9	 nc: 0.25	 nm: 0.17	 bmp: 0.6	 cc: 2.56
	Repetition 0
		Population 0
			Robot 13 	f: 273.55 	ga0: -8.82 	ga1: 2.34 	ga2: 0.61 	ga3: 0.30 	ga4: 0.24 	ga5: 0.42 	ga6: 0.58 	gb0: -8.29 	gb1: 1.24 	gb2: 0.45 	gb3: 0.38 	gb4: 0.19 	gb5: 0.35 	gb6: 0.40 	gb7: -0.13 	gb8: -0.03 	gb9: 0.03
			Robot 14 	f: 371.37 	ga0: -8.79 	ga1: -2.75 	ga2: 0.32 	ga3: 0.29 	ga4: 0.30 	ga5: 0.46 	ga6: 0.47 	gb0: -8.26 	gb1: -2.53 	gb2: 0.34 	gb3: 0.18 	gb4: 0.28 	gb5: 0.34 	gb6: 0.36 	gb7: -0.07 	gb8: -0.10 	gb9: -0.15
		Population 3
			Robot 0 	f: 371.64 	ga0: -8.84 	ga1: -2.91 	ga2: 0.55 	ga3: 0.33 	ga4: 0.33 	ga5: 0.58 	ga6: 0.76 	gb0: -8.60 	gb1: -2.63 	gb2: 0.60 	gb3: 0.24 	gb4: 0.27 	gb5: 0.59 	gb6: 0.58 	gb7: -0.19 	gb8: 0.14 	gb9: -0.17
			Robot 1 	f: 430.54 	ga0: -8.79 	ga1: -1.05 	ga2: 0.47 	ga3: 0.42 	ga4: 0.46 	ga5: 0.49 	ga6: 0.48 	gb0: -8.39 	gb1: -1.08 	gb2: 0.49 	gb3: 0.30 	gb4: 0.37 	gb5: 0.53 	gb6: 0.42 	gb7: -0.03 	gb8: -0.09 	gb9: -0.20
			Robot 2 	f: -72.33 	ga0: -8.17 	ga1: 0.97 	ga2: 0.66 	ga3: 0.31 	ga4: 0.21 	ga5: 0.66 	ga6: 0.54 	gb0: -8.01 	gb1: 0.48 	gb2: 0.60 	gb3: 0.40 	gb4: 0.13 	gb5: 0.59 	gb6: 0.57 	gb7: 0.05 	gb8: 0.13 	gb9: 0.06
			Robot 3 	f: 618.38 	ga0: -9.58 	ga1: 2.71 	ga2: 0.65 	ga3: 0.32 	ga4: 0.29 	ga5: 0.51 	ga6: 0.43 	gb0: -9.09 	gb1: 1.76 	gb2: 0.45 	gb3: 0.16 	gb4: 0.35 	gb5: 0.35 	gb6: 0.35 	gb7: 0.07 	gb8: 0.12 	gb9: 0.05
			Robot 4 	f: 21.70 	ga0: -8.84 	ga1: -4.27 	ga2: 0.40 	ga3: 0.49 	ga4: 0.24 	ga5: 0.82 	ga6: 0.56 	gb0: -8.41 	gb1: -3.58 	gb2: 0.38 	gb3: 0.29 	gb4: 0.30 	gb5: 0.58 	gb6: 0.65 	gb7: 0.10 	gb8: -0.14 	gb9: -0.19
			Robot 5 	f: -180.41 	ga0: -9.54 	ga1: -2.72 	ga2: 0.43 	ga3: 0.46 	ga4: 0.19 	ga5: 0.76 	ga6: 0.56 	gb0: -8.92 	gb1: -2.32 	gb2: 0.54 	gb3: 0.53 	gb4: 0.05 	gb5: 0.69 	gb6: 0.65 	gb7: -0.11 	gb8: -0.14 	gb9: -0.09
			Robot 6 	f: 392.32 	ga0: -8.35 	ga1: -2.13 	ga2: 0.76 	ga3: 0.41 	ga4: 0.22 	ga5: 0.53 	ga6: 0.57 	gb0: -8.24 	gb1: -2.11 	gb2: 0.66 	gb3: 0.35 	gb4: 0.29 	gb5: 0.63 	gb6: 0.50 	gb7: -0.16 	gb8: 0.00 	gb9: 0.10
			Robot 7 	f: 398.53 	ga0: -8.76 	ga1: -0.38 	ga2: 0.54 	ga3: 0.61 	ga4: 0.31 	ga5: 0.81 	ga6: 0.67 	gb0: -8.32 	gb1: -0.58 	gb2: 0.50 	gb3: 0.50 	gb4: 0.33 	gb5: 0.86 	gb6: 0.69 	gb7: 0.02 	gb8: -0.12 	gb9: -0.16
			Robot 8 	f: 200.10 	ga0: -8.79 	ga1: 2.41 	ga2: 0.57 	ga3: 0.53 	ga4: 0.18 	ga5: 0.51 	ga6: 0.68 	gb0: -8.33 	gb1: 1.43 	gb2: 0.36 	gb3: 0.41 	gb4: 0.17 	gb5: 0.44 	gb6: 0.57 	gb7: -0.19 	gb8: -0.10 	gb9: 0.04
			Robot 9 	f: 474.44 	ga0: -7.96 	ga1: -2.44 	ga2: 0.34 	ga3: 0.19 	ga4: 0.11 	ga5: 0.45 	ga6: 0.33 	gb0: -6.81 	gb1: -1.56 	gb2: 0.30 	gb3: 0.18 	gb4: 0.13 	gb5: 0.44 	gb6: 0.39 	gb7: -0.21 	gb8: 0.04 	gb9: -0.23
			Robot 10 	f: 81.26 	ga0: -9.54 	ga1: 0.22 	ga2: 0.47 	ga3: 0.59 	ga4: 0.54 	ga5: 0.44 	ga6: 0.52 	gb0: -9.01 	gb1: -0.14 	gb2: 0.48 	gb3: 0.39 	gb4: 0.39 	gb5: 0.38 	gb6: 0.58 	gb7: -0.17 	gb8: 0.07 	gb9: 0.03
			Robot 11 	f: 99.09 	ga0: -8.35 	ga1: -2.88 	ga2: 0.64 	ga3: 0.43 	ga4: 0.32 	ga5: 0.68 	ga6: 0.61 	gb0: -8.09 	gb1: -2.73 	gb2: 0.54 	gb3: 0.21 	gb4: 0.22 	gb5: 0.63 	gb6: 0.62 	gb7: -0.12 	gb8: 0.10 	gb9: -0.13
