QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 120
PointsCollision: -150
PointsMoving: 10
MaxPopulation: 40
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 5	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 2
	Repetition 0
		Population 0
			Robot 2 	f: 0.32 	mf: 42.80
			Robot 3 	f: 3.52 	mf: 122.40
			Robot 4 	f: 241.34 	mf: 49.60
			Robot 5 	f: 319.08 	mf: 192.40
			Robot 6 	f: 427.76 	mf: 128.60
			Robot 7 	f: 253.05 	mf: 58.60
			Robot 8 	f: 158.14 	mf: 178.40
			Robot 9 	f: 40.92 	mf: 112.60
		Population 27
			Robot 0 	f: 0.00 	mf: 142.20
			Robot 1 	f: 0.00 	mf: 52.80
			Robot 2 	f: 192.02 	mf: 80.40
			Robot 3 	f: -325.27 	mf: 57.00
			Robot 4 	f: 333.44 	mf: 116.20
			Robot 5 	f: 0.48 	mf: 192.40
			Robot 6 	f: 98.43 	mf: 148.20
			Robot 7 	f: 0.00 	mf: 57.00
			Robot 8 	f: 0.00 	mf: 175.80
			Robot 9 	f: 2.40 	mf: 112.00
		Population 28
			Robot 0 	f: 62.80 	mf: 106.20
			Robot 1 	f: 19.30 	mf: 46.20
			Robot 2 	f: 343.40 	mf: 107.00
			Robot 3 	f: 0.00 	mf: 29.80
			Robot 4 	f: 339.24 	mf: 182.80
			Robot 5 	f: 97.84 	mf: 197.00
			Robot 6 	f: 0.00 	mf: 105.00
			Robot 7 	f: 0.00 	mf: 54.60
			Robot 8 	f: 38.08 	mf: 149.60
			Robot 9 	f: 317.93 	mf: 130.80
		Population 29
			Robot 0 	f: 359.68 	mf: 178.00
			Robot 1 	f: 0.00 	mf: 3.80
			Robot 2 	f: 16.05 	mf: 110.20
			Robot 3 	f: 11.89 	mf: -5.60
			Robot 4 	f: 80.03 	mf: 198.60
			Robot 5 	f: 0.00 	mf: 135.20
			Robot 6 	f: 0.00 	mf: 105.00
			Robot 7 	f: 0.00 	mf: 54.60
			Robot 8 	f: 18.80 	mf: 89.60
			Robot 9 	f: 30.76 	mf: 134.20
		Population 30
			Robot 0 	f: 82.58 	mf: 128.60
			Robot 1 	f: 154.52 	mf: 34.60
			Robot 2 	f: 429.62 	mf: 196.00
			Robot 3 	f: 229.96 	mf: -16.40
			Robot 4 	f: 7.60 	mf: 200.00
			Robot 5 	f: 261.25 	mf: 135.40
			Robot 6 	f: 0.00 	mf: 105.00
			Robot 7 	f: 0.00 	mf: 50.60
			Robot 8 	f: 52.59 	mf: 53.20
			Robot 9 	f: 206.65 	mf: 119.00
		Population 31
			Robot 0 	f: 1.11 	mf: 100.80
			Robot 1 	f: 3.20 	mf: 35.20
			Robot 2 	f: 326.43 	mf: 261.20
			Robot 3 	f: 240.06 	mf: 31.00
			Robot 4 	f: 4.28 	mf: 152.60
			Robot 5 	f: 18.51 	mf: 75.20
			Robot 6 	f: 3.51 	mf: 20.20
			Robot 7 	f: 337.90 	mf: 67.40
			Robot 8 	f: 87.06 	mf: 39.00
			Robot 9 	f: 327.25 	mf: 176.40
		Population 32
			Robot 0 	f: 7.84 	mf: 102.20
			Robot 1 	f: 32.25 	mf: 41.60
			Robot 2 	f: 114.14 	mf: 245.60
			Robot 3 	f: 22.84 	mf: 100.40
			Robot 4 	f: 22.08 	mf: 90.40
			Robot 5 	f: 0.00 	mf: 75.20
			Robot 6 	f: 327.89 	mf: 66.00
			Robot 7 	f: 13.17 	mf: 70.00
			Robot 8 	f: 0.00 	mf: 39.00
			Robot 9 	f: 165.39 	mf: 209.00
		Population 33
			Robot 0 	f: 0.00 	mf: 89.80
			Robot 1 	f: 7.42 	mf: 39.20
			Robot 2 	f: 12.10 	mf: 179.40
			Robot 3 	f: 0.00 	mf: 100.40
			Robot 4 	f: 402.73 	mf: 103.00
			Robot 5 	f: 3.20 	mf: 56.40
			Robot 6 	f: 0.00 	mf: 66.00
			Robot 7 	f: 340.90 	mf: 138.00
			Robot 8 	f: 0.00 	mf: 31.40
			Robot 9 	f: 0.00 	mf: 145.60
		Population 34
			Robot 0 	f: 428.58 	mf: 103.60
			Robot 1 	f: 0.00 	mf: 39.20
			Robot 2 	f: 2.56 	mf: 176.60
			Robot 3 	f: 0.00 	mf: 98.20
			Robot 4 	f: 24.48 	mf: 91.80
			Robot 5 	f: 0.00 	mf: 56.40
			Robot 6 	f: 81.90 	mf: 82.20
			Robot 7 	f: 395.40 	mf: 217.00
			Robot 8 	f: 0.00 	mf: 27.80
			Robot 9 	f: 395.14 	mf: 218.60
		Population 35
			Robot 0 	f: 0.00 	mf: 87.20
			Robot 1 	f: 0.00 	mf: 8.40
			Robot 2 	f: 0.00 	mf: 90.80
			Robot 3 	f: 29.30 	mf: 58.20
			Robot 4 	f: 14.61 	mf: 93.20
			Robot 5 	f: 3.15 	mf: 4.80
			Robot 6 	f: 0.96 	mf: 82.20
			Robot 7 	f: 396.19 	mf: 296.20
			Robot 8 	f: 2.24 	mf: 17.80
			Robot 9 	f: 8.16 	mf: 179.00
		Population 36
			Robot 0 	f: 16.92 	mf: 90.20
			Robot 1 	f: 177.41 	mf: 43.20
			Robot 2 	f: 303.68 	mf: 86.20
			Robot 3 	f: 0.00 	mf: 10.20
			Robot 4 	f: 236.69 	mf: 139.60
			Robot 5 	f: 148.46 	mf: 30.80
			Robot 6 	f: 238.92 	mf: 129.20
			Robot 7 	f: 10.41 	mf: 230.80
