QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -10
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 5	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 1
	Repetition 0
		Population 0
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: -4.44 	ga1: 1.84 	ga2: 0.22 	ga3: 0.00 	ga4: 0.05 	ga5: 0.02 	ga6: 0.16 	gb0: -2.20 	gb1: 1.53 	gb2: 0.02 	gb3: -0.04 	gb4: -0.05 	gb5: 0.16 	gb6: 0.96 	gb7: -0.05 	gb8: 0.71 	gb9: 0.32
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.11 	ga1: 0.97 	ga2: 0.11 	ga3: 0.04 	ga4: 0.05 	ga5: 0.00 	ga6: 0.16 	gb0: -0.01 	gb1: 0.90 	gb2: -0.04 	gb3: 0.06 	gb4: -0.05 	gb5: 0.18 	gb6: 1.01 	gb7: -0.06 	gb8: 0.68 	gb9: 0.30
			Robot 4 	f: -572.63 	mf: -351.50 	ga0: -0.51 	ga1: 1.77 	ga2: 0.00 	ga3: 0.00 	ga4: 0.05 	ga5: 0.00 	ga6: 0.19 	gb0: -0.51 	gb1: 1.56 	gb2: -0.19 	gb3: -0.08 	gb4: -0.10 	gb5: 0.19 	gb6: 1.02 	gb7: -0.02 	gb8: 0.76 	gb9: 0.30
			Robot 5 	f: -522.63 	mf: -278.00 	ga0: -1.04 	ga1: -1.50 	ga2: 0.00 	ga3: 0.12 	ga4: 0.06 	ga5: 0.00 	ga6: 0.16 	gb0: -0.97 	gb1: 0.12 	gb2: -0.13 	gb3: 0.12 	gb4: -0.08 	gb5: 0.22 	gb6: 1.01 	gb7: -0.12 	gb8: 0.62 	gb9: 0.29
			Robot 6 	f: 68.03 	mf: -130.50 	ga0: -2.45 	ga1: 1.66 	ga2: 0.00 	ga3: 0.00 	ga4: 0.02 	ga5: 0.00 	ga6: 0.08 	gb0: -2.01 	gb1: 1.30 	gb2: -0.34 	gb3: -0.21 	gb4: 0.07 	gb5: 0.38 	gb6: 1.67 	gb7: -0.07 	gb8: 1.42 	gb9: 0.59
			Robot 7 	f: 3.48 	mf: 1.00 	ga0: 0.11 	ga1: 1.33 	ga2: 0.00 	ga3: 0.00 	ga4: 0.09 	ga5: 0.00 	ga6: 0.32 	gb0: -0.09 	gb1: 0.99 	gb2: -0.43 	gb3: 0.02 	gb4: -0.09 	gb5: 0.42 	gb6: 1.91 	gb7: -0.28 	gb8: 1.25 	gb9: 0.71
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.13 	ga1: 1.63 	ga2: 0.23 	ga3: 0.00 	ga4: 0.05 	ga5: 0.00 	ga6: 0.21 	gb0: 0.00 	gb1: 1.37 	gb2: 0.00 	gb3: 0.00 	gb4: 0.07 	gb5: 0.30 	gb6: 0.91 	gb7: -0.03 	gb8: 0.62 	gb9: 0.37
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: -4.94 	ga1: 1.87 	ga2: 0.00 	ga3: 0.24 	ga4: 0.10 	ga5: 0.00 	ga6: 0.17 	gb0: -2.45 	gb1: 1.70 	gb2: -0.09 	gb3: 0.08 	gb4: 0.04 	gb5: 0.25 	gb6: 0.86 	gb7: -0.13 	gb8: 0.77 	gb9: 0.40
			Robot 10 	f: 24.71 	mf: -277.50 	ga0: -5.07 	ga1: -0.59 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -3.21 	gb1: 0.13 	gb2: -0.29 	gb3: -0.18 	gb4: -0.07 	gb5: 0.44 	gb6: 1.56 	gb7: 0.03 	gb8: 1.55 	gb9: 0.69
			Robot 11 	f: 0.00 	mf: 0.00 	ga0: 0.09 	ga1: 1.51 	ga2: 0.03 	ga3: 0.00 	ga4: 0.10 	ga5: 0.00 	ga6: 0.19 	gb0: 0.05 	gb1: 1.36 	gb2: -0.10 	gb3: -0.03 	gb4: 0.06 	gb5: 0.23 	gb6: 0.97 	gb7: -0.07 	gb8: 0.77 	gb9: 0.39
			Robot 12 	f: 209.38 	mf: -188.75 	ga0: -5.53 	ga1: 2.39 	ga2: 0.00 	ga3: 0.06 	ga4: 0.00 	ga5: 0.12 	ga6: 0.00 	gb0: -3.34 	gb1: 1.89 	gb2: -0.28 	gb3: -0.10 	gb4: -0.04 	gb5: 0.44 	gb6: 1.57 	gb7: -0.08 	gb8: 1.57 	gb9: 0.47
			Robot 13 	f: -599.38 	mf: -268.75 	ga0: -1.04 	ga1: -1.16 	ga2: 0.08 	ga3: 0.00 	ga4: 0.12 	ga5: 0.00 	ga6: 0.18 	gb0: -0.95 	gb1: -0.04 	gb2: -0.05 	gb3: -0.08 	gb4: 0.14 	gb5: 0.22 	gb6: 1.03 	gb7: 0.00 	gb8: 0.71 	gb9: 0.22
			Robot 14 	f: 0.00 	mf: 0.00 	ga0: -4.96 	ga1: 1.51 	ga2: 0.20 	ga3: 0.00 	ga4: 0.05 	ga5: 0.00 	ga6: 0.16 	gb0: -2.60 	gb1: 1.20 	gb2: -0.23 	gb3: -0.11 	gb4: 0.02 	gb5: 0.34 	gb6: 1.85 	gb7: -0.20 	gb8: 1.54 	gb9: 0.54
		Population 4
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.11 	ga1: 0.76 	ga2: 0.10 	ga3: 0.00 	ga4: 0.28 	ga5: 0.04 	ga6: 0.25 	gb0: 0.07 	gb1: 0.86 	gb2: -0.02 	gb3: -0.02 	gb4: 0.16 	gb5: 0.14 	gb6: 0.73 	gb7: -0.08 	gb8: 0.44 	gb9: 0.36
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.11 	ga1: 1.56 	ga2: 0.09 	ga3: 0.00 	ga4: 0.07 	ga5: 0.12 	ga6: 0.27 	gb0: -0.07 	gb1: 1.51 	gb2: -0.16 	gb3: -0.10 	gb4: 0.02 	gb5: 0.12 	gb6: 0.85 	gb7: -0.02 	gb8: 0.47 	gb9: 0.30
			Robot 2 	f: -591.31 	mf: -118.20 	ga0: -2.17 	ga1: 1.58 	ga2: 0.11 	ga3: 0.00 	ga4: 0.07 	ga5: 0.07 	ga6: 0.27 	gb0: -1.62 	gb1: 1.36 	gb2: -0.02 	gb3: -0.06 	gb4: 0.09 	gb5: 0.24 	gb6: 0.85 	gb7: -0.12 	gb8: 0.53 	gb9: 0.32
