QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -100
PointsMoving: 10
MaxPopulation: 40
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 6.86	 mr: 0.58	 nc: 0.6	 nm: 0.59	 bmp: 0.62	 cc: 0.03
	Repetition 0
		Population 0
			Robot 2 	f: 397.97 	mf: 392.24
			Robot 3 	f: 478.68 	mf: 394.73
			Robot 4 	f: 398.79 	mf: 404.88
			Robot 5 	f: 404.32 	mf: 334.40
			Robot 6 	f: 358.98 	mf: 421.91
			Robot 7 	f: 429.57 	mf: 452.37
			Robot 8 	f: 373.95 	mf: 438.26
			Robot 9 	f: 502.70 	mf: 379.80
		Population 39
			Robot 0 	f: 520.82 	mf: 500.29
			Robot 1 	f: 403.42 	mf: 389.43
			Robot 2 	f: 397.97 	mf: 392.24
			Robot 3 	f: 478.68 	mf: 394.73
			Robot 4 	f: 398.79 	mf: 404.88
			Robot 5 	f: 404.32 	mf: 334.40
			Robot 6 	f: 358.98 	mf: 421.91
			Robot 7 	f: 429.57 	mf: 452.37
			Robot 8 	f: 373.95 	mf: 438.26
			Robot 9 	f: 502.70 	mf: 379.80
	finalFitness: 500
	Repetition 1
		Population 0
			Robot 0 	f: 373.31 	mf: 468.33
			Robot 1 	f: 145.38 	mf: 351.25
			Robot 2 	f: 223.67 	mf: 331.40
			Robot 3 	f: 355.16 	mf: 405.89
			Robot 4 	f: 329.24 	mf: 408.56
			Robot 5 	f: 346.12 	mf: 368.52
			Robot 6 	f: 568.49 	mf: 432.92
			Robot 7 	f: 332.43 	mf: 420.79
			Robot 8 	f: 300.01 	mf: 352.60
			Robot 9 	f: 103.95 	mf: 339.66
		Population 1
			Robot 0 	f: 303.73 	mf: 430.34
			Robot 1 	f: 72.51 	mf: 283.64
			Robot 2 	f: 186.99 	mf: 277.45
			Robot 3 	f: 325.64 	mf: 388.68
			Robot 4 	f: 353.19 	mf: 400.49
			Robot 5 	f: 423.24 	mf: 354.31
			Robot 6 	f: 443.84 	mf: 428.88
			Robot 7 	f: 341.04 	mf: 390.62
			Robot 8 	f: 227.87 	mf: 309.85
			Robot 9 	f: 256.75 	mf: 323.04
		Population 2
