QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 1
MaxPopulation: 500
MaxTime: 6000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.3	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 9 	f: 5805.93 	mf: 1935.00 	ga0: 1.15 	ga1: 3.48 	ga2: 0.00 	ga3: 0.00 	ga4: 0.56 	ga5: 0.00 	ga6: 0.07 	ga7: 0.10 	ga8: 0.64 	ga9: 0.57 	ga10: 0.20 	ga11: 0.07 	gb0: 0.28 	gb1: 0.68 	gb2: 0.76 	gb3: 0.29 	gb4: 0.31 	gb5: 0.43 	gb6: 0.21 	gb7: 0.63 	gb8: 0.28 	gb9: 0.30 	gb10: -1.89 	gb11: 0.60 	gb12: -1.75 	gb13: -1.51 	gb14: -1.82 	gb15: -1.23 	gb16: 1.77 	gb17: -1.55 	gb18: -0.69 	gb19: -0.43
		Population 3
			Robot 0 	f: 312.54 	mf: 1536.75 	ga0: 0.87 	ga1: 3.22 	ga2: 0.50 	ga3: 0.00 	ga4: 0.37 	ga5: 0.00 	ga6: 0.06 	ga7: 0.07 	ga8: 0.39 	ga9: 0.59 	ga10: 0.19 	ga11: 0.07 	gb0: 0.09 	gb1: 0.18 	gb2: 0.75 	gb3: 0.09 	gb4: 0.44 	gb5: 0.89 	gb6: 0.76 	gb7: 0.22 	gb8: 0.69 	gb9: 0.18 	gb10: 1.91 	gb11: -0.03 	gb12: 0.09 	gb13: -1.73 	gb14: 2.73 	gb15: 3.65 	gb16: 0.69 	gb17: 2.17 	gb18: 1.99 	gb19: 2.03
			Robot 1 	f: -5762.23 	mf: 114.75 	ga0: 1.35 	ga1: 3.95 	ga2: 0.09 	ga3: 0.00 	ga4: 0.42 	ga5: 0.13 	ga6: 0.04 	ga7: 0.52 	ga8: 0.33 	ga9: 0.19 	ga10: 0.15 	ga11: 0.13 	gb0: 0.48 	gb1: 0.13 	gb2: 0.15 	gb3: 0.30 	gb4: 0.64 	gb5: 0.10 	gb6: 0.49 	gb7: 0.22 	gb8: 0.52 	gb9: 0.83 	gb10: 0.16 	gb11: -0.20 	gb12: 1.29 	gb13: -2.02 	gb14: 0.23 	gb15: 3.63 	gb16: 1.98 	gb17: 1.15 	gb18: 1.88 	gb19: 1.21
			Robot 2 	f: 312.54 	mf: 1536.75 	ga0: 1.38 	ga1: 3.82 	ga2: 0.05 	ga3: 0.29 	ga4: 0.51 	ga5: 0.17 	ga6: 0.07 	ga7: 0.10 	ga8: 0.59 	ga9: 0.38 	ga10: 0.18 	ga11: 0.10 	gb0: 0.66 	gb1: 0.53 	gb2: 0.28 	gb3: 0.48 	gb4: 0.44 	gb5: 0.35 	gb6: 0.36 	gb7: 0.32 	gb8: 0.61 	gb9: 0.32 	gb10: -1.24 	gb11: 2.25 	gb12: 2.04 	gb13: -3.02 	gb14: -0.60 	gb15: 1.88 	gb16: 0.27 	gb17: 0.16 	gb18: -0.78 	gb19: -1.32
			Robot 3 	f: -383.98 	mf: 1388.75 	ga0: 1.35 	ga1: 3.81 	ga2: 0.09 	ga3: 0.00 	ga4: 0.27 	ga5: 0.30 	ga6: 0.66 	ga7: 0.05 	ga8: 0.27 	ga9: 0.20 	ga10: 0.15 	ga11: 0.13 	gb0: 0.19 	gb1: 0.51 	gb2: 0.81 	gb3: 0.19 	gb4: 0.67 	gb5: 0.81 	gb6: 0.90 	gb7: 0.57 	gb8: 0.25 	gb9: 0.14 	gb10: -1.83 	gb11: -3.30 	gb12: 4.00 	gb13: -1.69 	gb14: 1.32 	gb15: 1.69 	gb16: -3.20 	gb17: 2.68 	gb18: 4.15 	gb19: -1.29
			Robot 4 	f: -5200.46 	mf: 56.75 	ga0: 1.39 	ga1: 3.73 	ga2: 0.04 	ga3: 0.29 	ga4: 0.50 	ga5: 0.14 	ga6: 0.06 	ga7: 0.20 	ga8: 0.57 	ga9: 0.72 	ga10: 0.18 	ga11: 0.11 	gb0: 0.82 	gb1: 0.23 	gb2: 0.47 	gb3: 0.77 	gb4: 0.72 	gb5: 0.21 	gb6: 0.78 	gb7: 0.56 	gb8: 0.41 	gb9: 0.70 	gb10: -0.84 	gb11: 3.79 	gb12: -3.48 	gb13: 2.30 	gb14: -2.85 	gb15: -0.83 	gb16: 0.85 	gb17: 0.19 	gb18: 0.42 	gb19: -0.96
			Robot 5 	f: -1112.19 	mf: 913.50 	ga0: 1.25 	ga1: 3.65 	ga2: 0.05 	ga3: 0.38 	ga4: 0.38 	ga5: 0.15 	ga6: 0.58 	ga7: 0.08 	ga8: 0.49 	ga9: 0.39 	ga10: 0.65 	ga11: 0.10 	gb0: 0.39 	gb1: 0.63 	gb2: 0.72 	gb3: 0.69 	gb4: 0.05 	gb5: 0.52 	gb6: 0.12 	gb7: 0.66 	gb8: 0.61 	gb9: 0.55 	gb10: -0.84 	gb11: 3.32 	gb12: -3.92 	gb13: -1.68 	gb14: 0.76 	gb15: -3.58 	gb16: -1.17 	gb17: -4.06 	gb18: -0.55 	gb19: 0.23
			Robot 6 	f: 4799.44 	mf: 1226.00 	ga0: 1.23 	ga1: 3.78 	ga2: 0.27 	ga3: 0.00 	ga4: 0.14 	ga5: 0.15 	ga6: 0.03 	ga7: 0.02 	ga8: 0.20 	ga9: 0.10 	ga10: 0.38 	ga11: 0.08 	gb0: 0.72 	gb1: 0.14 	gb2: 0.33 	gb3: 0.73 	gb4: 0.33 	gb5: 0.57 	gb6: 0.34 	gb7: 0.26 	gb8: 0.77 	gb9: 0.66 	gb10: -0.88 	gb11: 2.38 	gb12: 0.39 	gb13: -0.42 	gb14: -0.05 	gb15: 1.18 	gb16: 0.53 	gb17: -1.09 	gb18: 1.82 	gb19: -0.67
			Robot 7 	f: 5775.52 	mf: 1488.00 	ga0: 1.28 	ga1: 3.84 	ga2: 0.18 	ga3: 0.00 	ga4: 0.21 	ga5: 0.24 	ga6: 0.04 	ga7: 0.04 	ga8: 0.28 	ga9: 0.16 	ga10: 0.27 	ga11: 0.10 	gb0: 0.73 	gb1: 0.13 	gb2: 0.31 	gb3: 0.74 	gb4: 0.25 	gb5: 0.40 	gb6: 0.48 	gb7: 0.26 	gb8: 0.74 	gb9: 0.57 	gb10: -0.61 	gb11: 2.82 	gb12: 0.53 	gb13: -1.94 	gb14: -0.72 	gb15: 1.15 	gb16: 0.96 	gb17: -1.34 	gb18: 1.61 	gb19: -1.70
